time	Acetate	OD600	NO3	NO2	N2O
0	18.0313603	0.01013	9.14450462	0.09977915	0
23	17.8153092	0.03307	7.89058453	1.06153428	0
42	16.0726961	0.06107	1.35000045	7.48050501	0
53	15.9261701	0.07075	0.12091592	9.07527374	0
71	16.255106	0.08789	0.13526536	9.21517507	0
95	16.1556777	0.0743	0.13857677	9.11623345	0
