target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_1,1225,900,1113,1504,370,21,3161,1548,2254,6504,7404,3816,8296,5112,6338,2795,2702,2960,5069,5684,8478,29,61,29,1885,2098,1800
FW510-R12_contig_1_10,561,321,473,723,143,13,1452,822,1193,888,1587,874,2969,1978,2635,1364,1292,1407,2518,2803,4149,13,28,4,828,1036,884
FW510-R12_contig_1_100,7,9,15,21,2,0,16,15,5,9,23,6,46,29,24,13,7,10,27,32,37,2,0,1,68,49,53
FW510-R12_contig_1_1000,2510,1884,2432,2615,651,16,4668,2548,3111,7586,9480,4665,11915,7973,9448,3877,3139,3235,8885,9872,13568,68,169,31,4716,5603,4912
FW510-R12_contig_1_1001,254,188,202,30,12,0,42,27,31,404,578,360,183,137,125,46,42,41,136,153,127,2,2,1,79,93,70
FW510-R12_contig_1_1002,460,284,385,34,6,0,68,35,47,914,1096,610,173,119,146,68,64,48,122,135,156,1,1,0,55,81,88
FW510-R12_contig_1_1003,10723,8054,9605,198,25,2,231,128,192,27218,27731,15886,1278,779,881,255,214,183,840,759,957,5,18,3,449,515,463
FW510-R12_contig_1_1004,2781,2000,2837,24,11,1,36,16,20,7279,7653,3983,386,246,204,23,23,34,104,114,191,9,16,7,98,185,123
FW510-R12_contig_1_1005,407,289,420,353,84,9,522,328,431,974,1209,543,1477,993,1222,561,499,416,1063,1274,1861,13,21,15,774,760,691
FW510-R12_contig_1_1006,501,348,499,627,146,9,1241,609,692,1571,1874,971,2924,1926,2411,1127,949,933,2356,2411,3237,20,74,16,1011,1226,917
FW510-R12_contig_1_1007,4490,3145,4653,5660,1341,75,12309,5508,7544,31518,39087,19165,37642,24020,29769,11508,12289,12813,24264,22286,32527,129,350,86,4599,4904,4414
FW510-R12_contig_1_1008,2011,1489,2067,2094,505,10,4364,1941,2210,17565,20749,9884,15172,11006,11643,3950,3853,3832,8586,8535,10207,26,244,23,1235,1166,1100
FW510-R12_contig_1_1009,404,284,401,475,149,4,1027,502,668,2225,2539,1216,2660,1819,2130,915,877,858,1859,2004,2809,5,24,7,1329,1315,1279
FW510-R12_contig_1_101,9,3,6,9,0,0,14,13,10,13,23,14,39,39,36,4,0,9,34,31,47,0,1,1,43,44,53
FW510-R12_contig_1_1010,2139,1477,1953,3137,730,35,5350,2786,4413,12748,15283,8076,17776,11285,12087,4353,4912,5135,12372,12006,17409,58,147,36,4631,5684,4575
FW510-R12_contig_1_1011,282,137,208,293,60,6,475,225,357,1079,1221,582,1225,855,875,381,367,356,824,906,1429,15,13,3,450,467,402
FW510-R12_contig_1_1012,264,194,260,235,61,4,407,201,257,854,1144,501,1199,760,890,390,316,267,623,845,1138,10,11,3,241,254,242
FW510-R12_contig_1_1013,570,334,375,839,141,6,1921,1011,1298,5068,5344,2853,9140,6619,6862,1743,1497,1297,6261,7145,10701,112,304,63,6964,6835,6730
FW510-R12_contig_1_1014,104,59,52,106,32,0,167,115,128,141,212,124,344,214,303,181,130,129,283,371,460,12,12,3,244,244,238
FW510-R12_contig_1_1015,616,456,529,647,171,12,1405,732,821,1670,1686,908,2984,2094,2490,1100,1002,834,2784,2766,3848,17,38,13,2295,2465,2107
FW510-R12_contig_1_1016,155,117,146,155,39,2,351,193,242,648,508,320,729,577,567,310,231,227,519,540,825,7,1,2,319,422,371
FW510-R12_contig_1_1017,62,43,94,114,34,0,170,120,185,52,93,77,136,71,228,151,112,139,364,383,606,1,11,3,83,85,81
FW510-R12_contig_1_1018,13988,6566,18799,17296,2836,139,39808,21340,27163,18020,16848,8547,39478,20231,42775,27163,23076,18996,98982,89652,119307,740,1688,398,65175,74355,62698
FW510-R12_contig_1_1019,349,224,415,772,194,9,1141,759,1152,1472,2135,938,2709,1579,2172,914,894,1291,2490,3011,3449,36,63,17,1276,1236,1091
FW510-R12_contig_1_102,2,1,3,6,0,0,3,7,8,5,14,5,28,17,26,3,12,4,33,19,46,3,0,0,23,16,36
FW510-R12_contig_1_1020,190,134,224,346,93,1,617,325,546,1465,1556,752,1744,1069,1323,580,461,476,1286,1472,2366,39,48,20,1612,1701,1422
FW510-R12_contig_1_1021,825,487,947,1542,410,15,3467,1500,2153,7949,9543,4765,7631,5265,6245,3273,3501,3427,5320,5386,7301,23,156,17,1346,1511,1307
FW510-R12_contig_1_1022,313,253,329,453,90,1,751,280,335,2152,2654,1162,2195,1326,2010,739,579,639,1734,1622,2632,27,70,19,406,452,406
FW510-R12_contig_1_1023,687,462,675,1434,339,24,3319,1553,2482,7415,8777,4066,8945,5486,7023,3167,3466,3849,6368,6753,6603,22,59,15,1006,1000,967
FW510-R12_contig_1_1024,595,351,621,889,191,8,1617,828,996,2830,3578,1700,3788,2526,3042,1477,1317,1447,2322,2476,4185,12,44,10,781,960,846
FW510-R12_contig_1_1025,223,152,230,310,64,4,468,206,254,731,1067,472,994,675,858,442,368,384,760,803,1048,2,22,2,340,274,258
FW510-R12_contig_1_1026,1184,820,1147,1160,266,14,1978,784,976,4514,6239,2844,5323,3770,4314,1624,1502,1475,3663,3690,5193,26,87,11,1172,1185,1037
FW510-R12_contig_1_1027,767,498,642,755,152,4,1173,658,853,2599,3005,1484,3439,2505,2819,1043,964,941,2557,2761,3687,34,36,6,1608,1724,1591
FW510-R12_contig_1_1028,307,246,324,365,78,2,660,273,409,1195,1481,763,2068,1359,1724,559,550,613,1740,1730,2656,9,14,2,1456,1626,1453
FW510-R12_contig_1_1029,447,362,514,645,193,3,1116,610,662,1959,2853,1445,3126,2212,2356,895,835,831,2413,2640,4048,13,43,4,2315,2524,2167
FW510-R12_contig_1_103,22,18,22,27,4,0,45,28,40,44,74,24,92,65,87,23,23,38,82,113,137,2,3,2,112,89,79
FW510-R12_contig_1_1030,265,199,269,299,66,0,511,259,306,1080,1670,789,1608,1120,1241,430,342,411,1406,1503,2170,14,31,11,1457,1496,1360
FW510-R12_contig_1_1031,844,699,759,1014,219,6,1729,844,1200,3857,6049,2808,6257,4390,5741,1480,1491,1470,5334,5742,8224,47,127,19,3281,3651,3192
FW510-R12_contig_1_1032,1363,946,1375,1549,417,15,3031,1613,1982,6652,9985,4827,9411,6768,6983,2405,2504,2527,6113,6943,10874,41,130,25,3879,4153,3563
FW510-R12_contig_1_1033,14683,12095,15256,18662,3284,188,41413,18849,24564,116275,118787,59857,156821,111883,130057,31888,29588,29565,110802,108400,130353,346,916,202,50685,46633,45630
FW510-R12_contig_1_1034,981,906,1082,1318,313,5,2210,1073,1432,3771,5762,2686,6621,4468,5604,2059,1865,2214,5153,5466,7273,40,88,25,3273,3687,3408
FW510-R12_contig_1_1035,145,114,152,186,40,0,228,133,180,578,969,486,700,502,589,213,229,267,486,503,961,6,6,4,228,214,179
FW510-R12_contig_1_1036,76,37,33,64,11,1,136,60,108,375,477,208,324,248,219,130,82,112,145,203,298,2,0,0,62,94,68
FW510-R12_contig_1_1037,1472,1193,1431,1256,247,22,2304,1416,1553,2820,3948,1844,4658,3164,3602,1518,1365,1506,4551,4839,7453,42,85,21,4290,4981,3703
FW510-R12_contig_1_1038,191,235,245,183,50,1,280,205,249,434,672,308,746,490,553,198,214,201,770,785,1440,7,23,5,742,787,644
FW510-R12_contig_1_1039,410,355,375,349,61,0,451,278,315,507,971,447,1157,758,844,236,181,209,1003,1109,1782,10,16,3,1170,1371,1060
FW510-R12_contig_1_104,14,6,13,11,2,0,19,10,17,19,16,9,47,23,33,6,16,14,26,30,33,0,1,0,23,23,20
FW510-R12_contig_1_1040,147,116,151,140,10,2,155,95,148,205,388,153,468,289,321,84,81,74,421,453,577,10,11,6,551,702,494
FW510-R12_contig_1_1041,150,116,129,151,23,0,203,104,132,219,327,130,352,294,293,91,97,94,384,399,604,5,17,2,654,730,500
FW510-R12_contig_1_1042,205,165,182,179,27,0,190,123,142,603,585,228,445,372,425,136,108,103,346,399,692,595,447,353,635,649,516
FW510-R12_contig_1_1043,116,70,111,84,32,0,92,55,56,451,665,283,445,296,387,120,113,105,185,236,340,1,4,2,24,24,23
FW510-R12_contig_1_1044,123,79,188,176,49,1,390,141,136,771,1014,430,805,524,672,342,378,305,480,428,657,4,43,1,118,93,103
FW510-R12_contig_1_1045,716,443,745,1516,330,16,3600,1505,2105,7274,8614,4280,8070,5140,6535,3170,3559,3838,5717,5396,7891,27,145,28,967,989,862
FW510-R12_contig_1_1046,122,96,142,139,22,0,221,133,140,400,388,184,638,396,503,216,140,139,490,588,775,1,3,5,433,424,406
FW510-R12_contig_1_1047,139,105,110,89,16,0,173,130,102,229,283,108,391,299,357,138,88,119,363,415,567,4,4,0,198,252,210
FW510-R12_contig_1_1048,28,32,39,55,12,0,78,57,78,68,110,75,179,121,203,69,75,85,191,191,270,0,1,3,74,70,100
FW510-R12_contig_1_1049,95,91,93,89,20,1,181,118,141,160,240,73,568,345,467,180,196,158,463,562,780,2,4,11,358,598,433
FW510-R12_contig_1_105,15,11,14,26,1,0,28,20,17,41,29,15,59,32,72,27,20,21,69,59,56,6,3,0,26,41,33
FW510-R12_contig_1_1050,194,183,174,235,46,2,488,247,340,470,363,193,1082,753,953,398,365,320,986,1097,1342,12,21,8,1298,1683,1247
FW510-R12_contig_1_1051,279,162,240,316,68,1,598,278,380,1282,1152,630,1442,1046,1009,398,319,269,969,1005,1433,31,25,5,878,944,819
FW510-R12_contig_1_1052,485,336,515,470,88,1,344,142,243,3251,3774,1796,2523,1973,1709,239,256,219,1139,1008,1176,8,11,5,236,219,186
FW510-R12_contig_1_1053,74,44,60,82,19,0,147,59,99,193,274,104,273,176,237,94,76,80,218,283,359,2,6,1,359,337,272
FW510-R12_contig_1_1054,1097,677,1077,1610,469,20,3155,1462,2382,4485,5706,2822,7157,4670,5713,2705,2757,3096,4451,5126,7505,22,68,10,600,708,519
FW510-R12_contig_1_1055,98,65,88,108,29,0,192,114,125,265,341,195,495,332,352,192,138,172,297,369,464,3,5,4,128,126,132
FW510-R12_contig_1_1056,66,41,74,100,18,1,126,84,118,245,306,147,365,245,271,127,137,137,256,304,396,4,2,2,66,88,69
FW510-R12_contig_1_1057,180,113,147,149,51,5,284,152,177,392,412,202,584,381,425,237,153,198,381,490,653,19,17,10,365,343,299
FW510-R12_contig_1_1058,560,396,527,840,234,4,1757,877,1268,4389,4841,2241,4556,3056,3077,1497,1503,1539,2901,3105,4235,23,36,7,918,1022,904
FW510-R12_contig_1_1059,3042,1842,3121,3983,1087,45,8466,3544,4592,17332,21593,9717,18491,11823,14590,8034,8234,8639,11642,11817,14779,114,615,52,3080,3286,2865
FW510-R12_contig_1_106,176,167,135,264,37,3,552,278,280,583,538,328,1040,710,1257,401,306,378,1351,1093,1681,222,186,151,924,1184,1048
FW510-R12_contig_1_1060,77,33,44,42,14,1,60,62,39,196,369,151,337,174,255,60,38,68,130,189,298,1,7,1,43,43,57
FW510-R12_contig_1_1061,411,219,348,473,94,4,1022,544,727,1025,1372,745,2498,1622,1809,697,668,690,2158,2078,2739,14,22,10,510,588,527
FW510-R12_contig_1_1062,116,70,116,149,32,2,219,138,126,343,502,260,532,345,408,175,159,163,443,479,658,7,5,7,89,84,102
FW510-R12_contig_1_1063,94,63,75,119,27,1,212,110,175,366,402,194,479,363,386,163,146,165,515,526,642,14,10,12,273,348,326
FW510-R12_contig_1_1064,103,93,104,136,45,1,326,154,170,501,438,195,746,488,529,275,263,161,559,637,780,7,4,2,453,502,405
FW510-R12_contig_1_1065,262,201,267,357,85,6,311,237,267,465,608,253,878,582,686,256,226,227,885,950,1319,39,32,12,702,700,678
FW510-R12_contig_1_1066,3125,2210,3072,3276,706,38,4631,2542,2994,4537,5629,3040,10143,7119,8322,3357,2729,2432,10373,10212,13699,95,208,55,7107,7670,7233
FW510-R12_contig_1_1067,497,330,393,548,134,3,996,627,678,1644,1797,968,2633,2051,2610,909,689,729,2320,2268,3401,17,51,13,1892,2023,1726
FW510-R12_contig_1_1068,123,91,107,143,39,0,314,148,156,852,657,421,1400,1005,898,228,226,223,746,953,1586,19,25,13,847,914,762
FW510-R12_contig_1_1069,65,48,68,101,26,1,164,83,108,309,320,176,725,436,447,153,86,100,425,487,889,4,14,3,420,436,407
FW510-R12_contig_1_107,247,173,228,292,67,5,445,250,321,555,758,415,1143,782,943,424,339,364,898,944,1449,117,46,84,315,352,270
FW510-R12_contig_1_1070,324,207,221,304,84,5,633,325,414,965,831,420,1339,968,1142,455,405,373,1068,1278,1629,11,7,0,499,595,479
FW510-R12_contig_1_1071,97,91,112,138,15,2,220,113,143,419,555,212,550,416,401,167,117,110,299,403,597,11,20,1,257,260,194
FW510-R12_contig_1_1072,51,28,58,59,15,0,70,44,54,160,152,51,209,106,149,34,62,59,137,142,275,3,1,1,93,73,46
FW510-R12_contig_1_1073,91,60,64,91,15,1,109,70,111,279,259,109,274,193,282,85,109,102,212,247,415,0,3,1,63,93,67
FW510-R12_contig_1_1074,274,289,333,313,62,4,868,454,685,4162,2397,1504,3452,2481,2222,663,592,459,2011,2542,4024,337,204,144,8554,9689,7037
FW510-R12_contig_1_1075,170,117,197,202,41,3,318,131,112,1162,1147,505,726,468,664,349,338,270,408,400,504,3,33,3,125,105,115
FW510-R12_contig_1_1076,734,486,998,1664,451,21,4526,1733,2558,10000,10574,5208,7471,4656,5616,4109,4774,5294,4358,4277,5989,30,159,11,877,826,791
FW510-R12_contig_1_1077,1178,674,1209,2166,544,27,5347,2363,3697,8618,10568,5324,10857,6802,8562,5000,5358,5788,7288,7649,10354,86,203,40,2516,2588,2190
FW510-R12_contig_1_1078,159,127,194,263,88,1,545,245,258,923,1256,605,897,594,759,501,526,553,731,754,967,6,32,4,211,169,180
FW510-R12_contig_1_1079,220,130,186,250,70,5,375,169,224,1150,1543,662,1108,742,872,343,308,325,625,690,879,34,25,18,317,369,322
FW510-R12_contig_1_108,585,475,688,718,193,7,1107,650,831,988,1194,588,2422,1582,2119,992,899,913,2084,2283,2973,3,6,3,738,859,651
FW510-R12_contig_1_1080,79,57,73,129,48,1,356,193,240,764,906,425,1266,874,949,390,454,515,660,749,720,10,23,9,644,714,581
FW510-R12_contig_1_1081,97,83,83,230,64,6,548,269,322,1200,1176,606,1962,1297,1466,542,658,668,1024,988,1296,13,36,5,586,717,572
FW510-R12_contig_1_1082,713,563,705,789,153,9,1237,675,859,2005,2403,1235,3229,2230,2811,1008,973,934,2788,2719,3681,12,27,5,1715,2034,1744
FW510-R12_contig_1_1083,495,318,422,437,111,6,675,383,496,979,1101,533,1746,1247,1334,586,471,453,1374,1584,1952,9,30,8,1192,1267,1065
FW510-R12_contig_1_1084,289,194,282,399,85,3,775,418,543,1612,2057,934,2128,1374,1600,653,776,636,1425,1619,1737,8,20,0,567,684,526
FW510-R12_contig_1_1085,320,241,307,343,137,6,861,462,546,1628,1937,949,1952,1435,1690,734,774,803,1872,1719,2435,25,25,18,817,885,745
FW510-R12_contig_1_1086,172,140,176,207,54,1,295,179,204,767,1169,527,986,565,736,248,266,283,624,703,1056,9,11,7,145,210,153
FW510-R12_contig_1_1087,269,177,224,276,84,0,409,235,283,1119,1653,694,1368,979,1203,473,293,397,928,1019,1434,9,13,13,359,377,353
FW510-R12_contig_1_1088,95,61,100,93,27,0,80,50,80,306,374,205,403,215,276,90,116,101,254,283,458,4,0,1,49,55,49
FW510-R12_contig_1_1089,176,105,177,229,54,0,436,224,269,422,542,220,752,558,616,374,298,337,684,570,905,10,23,6,339,346,259
FW510-R12_contig_1_109,8,14,6,13,0,0,15,10,5,22,23,7,26,27,18,27,6,9,42,53,65,0,1,1,20,35,42
FW510-R12_contig_1_1090,352,235,351,616,116,5,1132,575,739,1149,1416,669,2230,1495,1820,1033,968,829,1659,1649,2183,22,58,10,549,713,598
FW510-R12_contig_1_1091,354,285,390,408,111,4,815,416,562,701,805,435,1708,1178,1244,693,511,438,1525,1440,1922,9,11,7,389,472,354
FW510-R12_contig_1_1092,114,61,90,105,14,1,178,82,158,514,478,241,646,507,527,192,146,114,379,381,576,5,5,5,136,152,144
FW510-R12_contig_1_1093,86,76,70,78,21,3,106,70,70,260,218,104,437,294,359,89,119,101,179,222,192,5,3,0,68,110,91
FW510-R12_contig_1_1094,1023,605,899,665,182,10,1153,609,776,1475,2018,988,2711,1853,2158,917,862,791,2010,2096,2821,22,45,3,591,601,529
FW510-R12_contig_1_1095,313,182,332,269,85,6,441,202,270,460,737,303,848,603,620,348,301,271,624,624,1043,16,20,3,179,203,163
FW510-R12_contig_1_1096,801,509,889,865,237,10,1749,980,1160,1536,1908,944,3212,2238,2466,1490,1301,1158,2454,2620,3790,43,74,24,1217,1325,1042
FW510-R12_contig_1_1097,2211,1401,2312,2439,537,16,3549,1924,2362,4572,6305,2963,8407,5602,6598,2911,2506,2505,6108,6701,9391,50,100,24,2648,2882,2553
FW510-R12_contig_1_1098,19465,15572,20130,15712,2872,141,18252,9584,12730,40104,47585,23183,65529,44875,52121,14458,15111,14349,47429,43957,64110,170,454,116,12767,12389,10930
FW510-R12_contig_1_1099,1647,1273,3527,2643,392,27,2418,985,1608,3262,3530,2047,3821,3342,1680,2194,1556,1145,1811,3431,6047,9,29,3,1478,1826,1347
FW510-R12_contig_1_11,204,87,105,141,41,1,281,193,236,174,303,125,684,462,550,233,280,241,526,648,839,0,6,0,182,233,168
FW510-R12_contig_1_110,42,46,41,69,19,1,99,57,83,101,108,59,211,113,160,78,51,59,143,214,301,8,7,1,158,186,153
FW510-R12_contig_1_1100,1606,1643,4118,2288,315,27,2037,869,1081,1186,1630,826,2731,2443,1548,2088,1588,1059,1127,1641,2638,6,8,2,949,1042,736
FW510-R12_contig_1_1101,882,778,2025,844,125,2,821,320,334,439,753,365,1055,910,575,755,586,388,375,560,952,7,4,0,332,379,285
FW510-R12_contig_1_1102,693,635,930,409,58,2,466,195,270,317,583,280,978,887,504,371,265,204,321,392,667,5,13,2,243,243,221
FW510-R12_contig_1_1103,400,300,453,354,50,3,325,195,181,390,517,248,909,778,398,370,234,212,388,451,722,3,16,3,309,302,239
FW510-R12_contig_1_1104,378,333,531,438,53,2,387,227,280,462,712,370,909,742,544,433,326,305,514,587,1043,5,15,4,345,339,280
FW510-R12_contig_1_1105,221,209,369,373,41,5,324,205,265,430,559,323,643,507,405,344,317,234,483,557,763,6,3,3,265,276,192
FW510-R12_contig_1_1106,246,169,245,339,46,3,315,178,189,389,528,281,500,350,403,377,265,181,423,486,758,5,10,7,230,231,164
FW510-R12_contig_1_1107,806,627,825,1064,155,9,1284,652,863,1418,2652,1168,2752,1909,2235,1032,831,834,2448,2545,3428,37,54,17,1520,1763,1445
FW510-R12_contig_1_1108,287,209,318,350,69,5,442,262,260,471,842,355,868,642,725,371,305,323,864,914,1261,12,15,6,329,399,324
FW510-R12_contig_1_1109,354,301,366,392,79,4,996,455,598,1656,1393,702,2155,1449,1576,756,510,491,1681,1665,2218,15,18,7,1059,1310,1150
FW510-R12_contig_1_111,15,16,17,31,1,0,48,25,28,93,129,47,112,74,73,35,52,32,60,72,81,1,1,0,82,61,68
FW510-R12_contig_1_1110,63,48,63,87,16,1,102,59,75,162,167,76,200,152,187,123,73,76,195,200,316,10,6,5,160,170,141
FW510-R12_contig_1_1111,264,167,226,216,58,4,359,202,229,489,706,324,841,544,694,308,291,264,767,764,986,15,17,2,336,293,280
FW510-R12_contig_1_1112,1562,1384,1899,1931,452,23,3447,1766,2376,8410,7660,3597,9758,6987,7439,2996,2752,2764,6706,6614,9516,64,55,44,4668,4368,3993
FW510-R12_contig_1_1113,850,584,813,1187,328,18,2538,1288,1771,5361,6580,3108,6538,4446,4915,2063,2431,2409,4486,4486,6457,58,155,28,1566,1684,1421
FW510-R12_contig_1_1114,397,332,422,395,66,1,901,428,464,703,694,361,1826,1202,1657,793,527,487,1660,1795,2240,48,57,21,1160,1578,1273
FW510-R12_contig_1_1115,382,223,318,371,139,5,743,388,517,1273,1707,822,1966,1300,1493,677,540,623,1490,1461,2291,4,11,2,777,807,701
FW510-R12_contig_1_1116,80,44,56,107,26,1,152,97,102,223,395,130,376,215,242,135,81,88,231,293,347,5,11,6,161,202,162
FW510-R12_contig_1_1117,121,46,93,108,20,0,133,81,96,215,232,114,386,250,361,167,106,98,380,419,531,1,9,0,276,312,310
FW510-R12_contig_1_1118,290,181,249,360,103,2,622,370,443,608,1157,590,1440,1095,1456,639,694,765,1160,1145,1661,4,16,1,397,437,351
FW510-R12_contig_1_1119,1170,851,1403,1804,542,21,4012,1908,2372,7772,9250,4649,8876,5657,6766,3348,3520,3372,6162,6005,8580,16,165,14,987,1021,901
FW510-R12_contig_1_112,526,399,456,500,78,11,1044,593,716,1059,1083,565,2406,1634,1837,807,613,580,1872,1993,2098,15,48,17,1739,1742,1506
FW510-R12_contig_1_1120,132,106,176,243,65,4,385,206,240,655,802,337,684,420,618,355,384,392,529,522,828,6,14,3,170,161,160
FW510-R12_contig_1_1121,553,349,507,739,192,10,1363,794,1027,2786,3544,1678,3182,2063,2542,1307,1451,1302,2087,2447,3229,9,24,8,634,726,620
FW510-R12_contig_1_1122,188,130,159,312,59,7,593,294,473,1305,1662,769,1589,1014,1450,510,424,579,1394,1507,1847,3,5,0,265,333,381
FW510-R12_contig_1_1123,330,224,355,395,67,3,576,326,386,851,1229,505,1432,1010,1202,490,442,399,1014,1195,1636,23,43,12,835,933,865
FW510-R12_contig_1_1124,204,157,215,305,72,3,493,237,251,1038,1098,591,1371,856,924,424,301,336,776,890,1113,4,14,5,632,696,588
FW510-R12_contig_1_1125,158,117,144,156,36,2,398,190,228,608,668,275,831,592,658,310,240,264,733,744,873,20,18,4,423,535,523
FW510-R12_contig_1_1126,117,80,131,80,25,0,211,119,123,177,218,136,405,259,335,139,167,146,412,431,650,5,11,1,381,414,354
FW510-R12_contig_1_1127,111,107,141,128,48,0,279,133,180,239,232,124,571,483,583,236,212,151,707,781,925,16,28,11,597,542,505
FW510-R12_contig_1_1128,186,104,166,289,60,1,476,234,348,686,934,493,1090,619,789,371,469,386,670,780,1082,66,39,30,274,281,189
FW510-R12_contig_1_1129,770,458,583,1123,268,6,2272,1187,1814,3520,4829,2499,5203,3675,4183,1573,1635,1938,4433,4733,6670,61,38,14,1760,1896,1894
FW510-R12_contig_1_113,34,26,15,33,13,0,52,26,45,81,105,43,141,82,107,55,46,42,97,131,159,3,3,1,73,94,66
FW510-R12_contig_1_1130,174,105,194,238,60,7,397,237,287,857,1090,567,1102,681,856,381,358,451,889,853,1307,6,18,7,296,353,337
FW510-R12_contig_1_1131,250,115,264,240,48,2,337,182,213,645,878,479,919,622,871,299,340,324,648,708,803,5,18,1,285,240,219
FW510-R12_contig_1_1132,81,53,61,106,27,0,167,98,141,154,193,104,349,241,309,126,123,141,231,300,451,3,5,1,139,166,145
FW510-R12_contig_1_1133,167,107,183,166,55,1,300,145,161,442,573,257,701,425,506,246,191,205,527,462,882,1,3,6,217,229,191
FW510-R12_contig_1_1134,298,171,241,371,93,1,607,385,431,1083,1135,501,1676,1111,1072,577,437,443,966,1078,1649,8,32,2,398,447,374
FW510-R12_contig_1_1135,836,625,923,949,244,9,1782,974,1298,2377,2499,1394,3545,2538,3125,1677,1465,1317,2536,2770,4274,19,52,17,1281,1460,1107
FW510-R12_contig_1_1136,1059,871,1239,1235,267,15,2229,1068,1191,2912,3792,2077,4540,3290,3664,1563,1554,1505,3690,3582,5288,46,88,14,1481,1438,1160
FW510-R12_contig_1_1137,15,6,11,15,3,0,31,18,22,52,63,35,49,27,34,22,30,19,24,37,70,1,2,0,19,18,22
FW510-R12_contig_1_1138,961,712,981,978,249,18,1866,968,1204,3596,4175,1893,4769,3255,4054,1762,1676,1478,3649,4303,6124,34,108,21,1220,1492,1118
FW510-R12_contig_1_1139,397,283,454,482,88,4,812,375,523,1805,2437,1162,2532,1664,2003,680,664,724,1685,1569,2361,15,64,19,1020,1095,942
FW510-R12_contig_1_114,134,55,86,102,17,0,218,76,142,959,857,395,964,675,453,140,113,102,397,466,600,15,11,12,193,259,208
FW510-R12_contig_1_1140,127,84,129,162,39,0,193,141,171,566,797,353,718,484,602,235,160,253,545,561,677,8,7,3,319,404,342
FW510-R12_contig_1_1141,342,235,335,404,116,9,773,393,537,2444,2390,1156,2284,1619,1732,727,807,726,1416,1555,2248,33,43,25,1417,1414,1274
FW510-R12_contig_1_1142,223,176,218,345,72,1,525,292,331,830,1315,583,1485,1003,1237,453,460,479,999,1212,1700,4,23,2,329,311,297
FW510-R12_contig_1_1143,319,221,273,379,98,2,787,397,514,1659,1780,844,1946,1340,1482,705,624,631,1292,1442,1899,64,47,29,801,831,708
FW510-R12_contig_1_1144,760,557,833,1163,236,22,3852,1801,2405,3535,3024,1727,5365,3828,4932,3293,2221,2269,5155,5632,7751,29,56,10,8734,11274,9044
FW510-R12_contig_1_1145,458,352,470,521,137,9,1696,768,1169,1413,1225,668,2137,1325,2102,1473,1270,1272,2407,2419,3787,16,32,10,3167,4060,3006
FW510-R12_contig_1_1146,788,571,877,908,249,15,2235,1192,1667,1478,2120,1076,2881,2015,2729,1803,1830,1915,3345,3486,5240,26,47,15,3623,4287,3135
FW510-R12_contig_1_1147,3049,2509,3396,3192,985,38,9254,4859,6580,6354,8219,4016,11315,7716,9764,8328,8947,8237,11757,12259,16981,121,277,69,10025,10216,7863
FW510-R12_contig_1_1148,5978,4179,5722,5814,1690,89,15073,7998,10438,14518,18864,8696,23115,15405,19450,13627,13026,12656,23345,24925,33957,438,625,191,18535,19305,15242
FW510-R12_contig_1_1149,865,585,914,928,262,14,1958,1170,1510,2060,2849,1204,3468,2432,2703,1880,1583,1694,3042,3261,4000,55,37,21,2023,2272,1632
FW510-R12_contig_1_115,12,14,22,13,1,0,39,21,18,116,104,49,120,77,89,35,13,17,67,73,116,1,2,0,42,78,69
FW510-R12_contig_1_1150,410,313,436,459,111,8,1161,593,753,900,1198,527,1843,1194,1617,1173,980,1041,2202,2345,3451,16,21,11,1324,1467,1168
FW510-R12_contig_1_1151,122,75,141,280,58,4,502,273,445,720,1166,499,1222,704,937,410,498,536,968,898,1324,4,13,3,211,234,241
FW510-R12_contig_1_1152,134,107,96,150,28,0,274,161,183,304,401,136,627,475,474,266,161,136,468,653,909,43,45,23,1486,1846,1611
FW510-R12_contig_1_1153,373,229,319,410,100,2,766,389,497,1121,1641,737,1942,1189,1378,625,505,566,1226,1490,2136,33,25,9,515,500,474
FW510-R12_contig_1_1154,167,105,125,164,51,0,243,128,156,385,495,214,547,342,461,213,136,170,367,434,694,4,4,0,124,169,123
FW510-R12_contig_1_1155,360,241,394,301,75,6,608,317,392,780,1032,537,1434,964,1153,540,460,419,1040,1156,1483,4,23,2,429,455,364
FW510-R12_contig_1_1156,399,255,393,484,108,7,852,415,618,1589,1814,964,2438,1640,1733,592,528,610,1873,1916,2674,27,44,11,487,685,513
