target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_1715,531,328,493,578,186,2,1075,507,715,2227,3103,1515,2853,1779,2167,972,974,942,1762,1983,3024,20,37,14,788,942,796
FW510-R12_contig_1_1716,632,491,593,1049,244,19,2089,1070,1405,5471,6993,3082,6357,4176,4339,1781,1634,1957,3480,4247,5175,236,225,123,1219,1586,1337
FW510-R12_contig_1_1717,249,136,215,245,61,2,370,207,250,1090,1498,711,1478,898,1141,385,396,443,844,991,1518,10,24,1,268,331,277
FW510-R12_contig_1_1718,750,514,771,798,155,8,1328,602,775,4744,5347,2658,5759,4054,4360,1147,1075,1036,3374,3612,5289,34,89,14,1813,1599,1652
FW510-R12_contig_1_1719,713,563,705,789,153,9,1237,675,859,2005,2403,1235,3229,2230,2811,1008,973,934,2788,2719,3681,12,27,5,1715,2034,1744
FW510-R12_contig_1_172,882,615,970,1172,257,20,2161,1098,1373,2087,2773,1350,3599,2397,3068,1866,1666,1723,3803,4124,4885,75,96,30,3431,4395,3865
FW510-R12_contig_1_1720,330,230,278,296,39,0,386,252,291,942,1265,637,1498,1026,1113,341,324,312,1241,1125,1731,8,8,4,616,706,600
FW510-R12_contig_1_1721,4,1,0,3,1,0,1,1,4,2,14,4,8,2,6,6,4,4,3,9,10,3,0,0,10,5,9
FW510-R12_contig_1_1722,93,73,92,104,16,2,167,80,148,256,285,142,456,288,400,174,139,154,356,350,605,3,9,3,192,206,188
FW510-R12_contig_1_1723,223,132,228,203,48,2,355,156,176,523,699,302,966,665,753,312,271,243,753,742,958,2,13,6,438,547,390
FW510-R12_contig_1_1724,237,188,230,242,52,3,332,176,227,546,698,349,925,693,746,280,281,243,684,729,1112,1,6,5,372,383,372
FW510-R12_contig_1_1725,479,448,533,441,90,2,823,458,552,1132,1343,726,2097,1506,1918,687,685,674,1460,1685,2352,53,37,23,1049,1301,1095
FW510-R12_contig_1_1726,292,186,243,335,78,2,511,321,415,788,957,489,1239,894,1204,531,500,548,1043,1150,1887,8,9,1,864,1042,835
FW510-R12_contig_1_1727,149,85,127,213,44,1,317,156,244,518,621,381,729,466,769,341,304,353,499,714,1062,1,3,1,426,395,327
FW510-R12_contig_1_1728,1440,1204,1442,1337,316,13,2075,1189,1399,2294,2890,1424,5916,4218,4644,1667,1613,1437,5135,5216,7497,26,60,22,4346,5215,4342
FW510-R12_contig_1_1729,690,417,543,784,158,7,1027,674,799,1189,1331,655,2585,1651,2135,1043,804,783,1868,2129,3208,321,173,142,831,1077,864
FW510-R12_contig_1_173,962,771,890,997,197,3,1601,789,1011,2543,3341,1530,4116,2930,3185,1283,930,959,3332,3371,4405,67,109,32,1399,1644,1405
FW510-R12_contig_1_1730,312,212,316,331,79,2,401,237,297,431,688,371,978,718,856,352,402,319,941,1040,1543,9,12,0,404,482,357
FW510-R12_contig_1_1731,502,299,467,1000,272,3,2356,1013,1801,5713,6684,3205,5842,3666,4021,2133,2712,3026,3660,3801,5249,8,62,8,857,993,725
FW510-R12_contig_1_1732,107,84,99,151,44,4,447,157,230,1175,1224,634,865,544,797,401,444,466,663,535,874,4,19,2,153,142,107
FW510-R12_contig_1_1733,448,335,417,431,89,8,890,352,424,3525,3957,1935,2976,2100,2365,853,859,739,1598,1523,2046,13,91,4,427,555,426
FW510-R12_contig_1_1734,122,86,74,77,16,0,118,53,73,600,651,339,530,413,433,112,93,132,284,235,359,1,6,1,93,85,72
FW510-R12_contig_1_1735,148,91,171,169,51,2,363,185,202,451,642,311,896,631,740,318,228,261,661,767,1107,4,13,5,277,333,249
FW510-R12_contig_1_1736,301,214,257,327,109,4,557,326,402,943,1151,480,1283,876,1142,515,440,468,946,1146,1795,20,16,8,763,835,754
FW510-R12_contig_1_1737,314,202,280,318,93,4,559,282,331,740,1174,599,1367,828,1187,537,403,462,1000,1047,1761,10,18,2,727,789,721
FW510-R12_contig_1_1738,978,724,982,1355,298,10,2673,1378,1870,5597,6486,3260,7332,5093,5994,2350,2484,2364,5211,5666,8239,49,112,34,2949,3214,3056
FW510-R12_contig_1_1739,249,194,256,234,66,4,557,286,320,757,985,515,1349,882,1138,522,492,400,1070,1119,1211,2,12,0,801,663,618
FW510-R12_contig_1_174,2215,1689,2304,2270,637,34,4646,2319,3030,10894,11959,5832,13546,8872,10501,3547,3631,3813,9262,9114,13820,70,268,58,3393,3745,3182
FW510-R12_contig_1_1740,487,346,450,575,105,1,911,457,596,1471,1978,1008,2384,1684,1833,809,779,755,2103,2095,2965,25,77,30,1159,1169,1070
FW510-R12_contig_1_1741,346,246,385,317,67,0,636,339,451,966,1377,653,1496,1284,1477,665,579,543,1297,1446,1837,5,27,4,584,549,513
FW510-R12_contig_1_1742,751,590,741,958,182,15,1936,852,1076,4515,3891,1853,6597,4739,5195,1795,1238,1428,4727,5290,7444,84,119,63,8319,8888,8182
FW510-R12_contig_1_1743,233,131,182,223,68,0,279,137,224,899,972,468,1648,1156,1327,270,271,321,1067,1255,1435,32,41,24,1917,1923,2049
FW510-R12_contig_1_1744,164,108,155,156,41,0,229,124,161,341,531,254,673,426,521,205,197,170,430,469,688,1,9,1,164,206,152
