"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FW510-R12_contig_1_1",2527.7349421828,-0.62984158499502,0.103423064361292,6.07822852996647e-10,2.9773279520992e-09
"FW510-R12_contig_1_10",703.70198923068,0.432859688548384,0.174005460086851,0.00926922273310371,0.0170156445886261
"FW510-R12_contig_1_100",12.6615667452653,1.18253085728232,0.651972016203714,0.00933409951758397,0.017110296547925
"FW510-R12_contig_1_1000",3963.74382919877,0.14200701523228,0.0967352330448702,0.137292158919503,0.19176133066474
"FW510-R12_contig_1_1001",317.182172283361,0.681652216697229,0.178299489051513,6.18798416181204e-05,0.000169182120168691
"FW510-R12_contig_1_1002",571.077745350438,0.553151165291605,0.132204612495121,1.75379513776693e-05,5.2086904900551e-05
"FW510-R12_contig_1_1003",14887.6671954093,0.467505585794877,0.110099495622324,1.48380444276587e-05,4.45141332829761e-05
"FW510-R12_contig_1_1004",3957.11511692904,0.483176389105195,0.108578912684409,5.9551717911337e-06,1.90200391506383e-05
"FW510-R12_contig_1_1005",572.230181982095,0.518111731817706,0.1290245650743,3.87426612474599e-05,0.000109718054233159
"FW510-R12_contig_1_1006",793.25632321739,0.0870650209094066,0.116876406129796,0.447691604768809,0.522510183585758
"FW510-R12_contig_1_1007",11495.2475350966,-1.04802863014912,0.100570457924277,5.08110552210093e-26,7.45882184307334e-25
"FW510-R12_contig_1_1008",5847.45385039203,-1.28242042978523,0.101856328494976,4.47697239683246e-37,1.21540342181614e-35
"FW510-R12_contig_1_1009",845.81928321862,-0.62386379791294,0.121340836539084,1.49070993287829e-07,5.75243923047628e-07
"FW510-R12_contig_1_101",9.75219089893072,0.1275748347499,0.457346428091875,0.679768105451777,0.736925209931552
"FW510-R12_contig_1_1010",4842.30273031376,-0.885642187174098,0.0983137342565325,6.91444964207739e-20,7.05164110322972e-19
"FW510-R12_contig_1_1011",435.105973371905,-0.379917682461627,0.157683662005092,0.0124646294761522,0.0221842782227917
"FW510-R12_contig_1_1012",432.332268879684,0.0289041308371284,0.135576193848673,0.82897599229256,0.86417048412326
"FW510-R12_contig_1_1013",1541.9207568282,-1.55867623828273,0.14289470004641,1.50688207803606e-28,2.54782035562676e-27
"FW510-R12_contig_1_1014",107.465446126798,0.554969259462954,0.253939895119024,0.0161797525367706,0.0282358288950886
"FW510-R12_contig_1_1015",860.456227677967,0.381337991915773,0.127881144519803,0.00221803928794266,0.00461692303186769
"FW510-R12_contig_1_1016",257.584110390906,-0.0239238266264925,0.183565010712316,0.890093940277054,0.912583015895756
"FW510-R12_contig_1_1017",80.6753745651513,1.43986551842465,0.334759521320248,2.24623163174873e-06,7.59580959683451e-06
"FW510-R12_contig_1_1018",15370.303539288,1.51969220020626,0.34560761515373,1.44545700830616e-06,4.97077320876026e-06
"FW510-R12_contig_1_1019",686.533004260103,-0.367925947893124,0.150272116589384,0.0114471463241629,0.0205632567938715
"FW510-R12_contig_1_102",3.79294246904051,-0.0427533183119235,0.528801013890679,0.871562683223951,0.898121930988595
"FW510-R12_contig_1_1020",490.743370296244,-0.941743856046189,0.153876537122517,2.94082931652184e-10,1.48583184995959e-09
"FW510-R12_contig_1_1021",2605.84633668625,-1.48918611993587,0.139954313264052,2.98749112519616e-27,4.73941493318155e-26
"FW510-R12_contig_1_1022",783.533086463113,-0.880208071010383,0.130060916765711,4.48618200778501e-12,2.68543969565391e-11
"FW510-R12_contig_1_1023",2292.30160581276,-1.64303770717492,0.111264714628981,3.31697544679149e-50,1.68249215097121e-48
"FW510-R12_contig_1_1024",1169.52748440782,-0.551527661851369,0.130699760467865,1.50412707957776e-05,4.50887238862541e-05
"FW510-R12_contig_1_1025",377.786910219161,-0.0818386117397337,0.146731835228858,0.564811155885952,0.630932195288422
"FW510-R12_contig_1_1026",2125.00606427358,-0.281498753193963,0.108286885279602,0.00812689233332284,0.0151056749975697
"FW510-R12_contig_1_1027",1190.84763601105,-0.0819098951269299,0.112338218524863,0.457305673536803,0.53222099458509
"FW510-R12_contig_1_1028",567.551432367018,-0.15334354866588,0.128111309714234,0.219614219362003,0.288061522844682
"FW510-R12_contig_1_1029",949.463743008451,-0.416049612559039,0.13621600730669,0.00167413584880196,0.00358544094285087
"FW510-R12_contig_1_103",30.7797585443877,0.519977445200692,0.359448214435465,0.0802053777109717,0.119888224535012
"FW510-R12_contig_1_1030",529.538279849191,-0.435269419131701,0.144931631026594,0.00192845131216795,0.00407799221525367
"FW510-R12_contig_1_1031",1805.78979262416,-0.605298650083132,0.134715658891621,2.8118669881678e-06,9.42586716468424e-06
"FW510-R12_contig_1_1032",2978.37911866017,-0.719385956643548,0.120740240297547,1.16717374321776e-09,5.55488244457343e-09
"FW510-R12_contig_1_1033",38379.0095432074,-0.969824928750258,0.115762408912088,1.59169262755691e-17,1.39771641895943e-16
"FW510-R12_contig_1_1034",1970.7237949485,-0.19672069538998,0.134575485937935,0.133203406175989,0.18686285691719
"FW510-R12_contig_1_1035",303.024936877047,-0.46825342392997,0.176939918364285,0.00550300862054723,0.0106818218691891
"FW510-R12_contig_1_1036",134.334181249644,-0.971679253870556,0.248080394504321,2.56055636342155e-05,7.41061920494749e-05
"FW510-R12_contig_1_1037",1998.32266941041,0.741301381200671,0.114988003944443,5.09528684618754e-11,2.75488510407475e-10
"FW510-R12_contig_1_1038",332.133249935643,0.735693222469815,0.195169384404535,6.91139159870713e-05,0.000187629680373352
"FW510-R12_contig_1_1039",518.12291721111,1.03893968922365,0.180752149875646,2.31897566156557e-09,1.06805868283576e-08
"FW510-R12_contig_1_104",13.579516015331,1.00832000067096,0.576371961447351,0.0145904681512897,0.0256949541905993
"FW510-R12_contig_1_1040",189.83111180005,0.946258931521734,0.203503122671884,9.94371362256332e-07,3.478495101178e-06
"FW510-R12_contig_1_1041",178.27717522608,1.02930795945603,0.188998450403094,1.36977809233139e-08,5.87374254275584e-08
"FW510-R12_contig_1_1042",288.506144559035,0.46613611828019,0.18647819976205,0.00849448489450892,0.0157358189660413
"FW510-R12_contig_1_1043",208.788847630886,-0.385947198343853,0.17747335168853,0.0227574564336341,0.0385965660148084
"FW510-R12_contig_1_1044",305.424307212991,-0.641607299719192,0.201181894366497,0.000726291432796392,0.00168203032404423
"FW510-R12_contig_1_1045",2319.46376676126,-1.59155522404768,0.120468470334908,1.10590314674739e-40,3.55271385892598e-39
"FW510-R12_contig_1_1046",193.074379210955,0.361787136212188,0.185960049447255,0.0406197750125535,0.0651098680554652
"FW510-R12_contig_1_1047",160.625735743332,0.997763390635436,0.199383932370445,1.56937768761595e-07,6.01985172712386e-07
"FW510-R12_contig_1_1048",53.8020529128369,0.337703624089928,0.303785150211092,0.199175811024744,0.264675198724712
"FW510-R12_contig_1_1049",125.454414478561,1.06593993560484,0.237557533860112,1.7716583524552e-06,6.02801672437315e-06
