target_id,X_3H11_A_T42_repeat_L1,X_3H11_B_T42_repeat_L1,X_3H11_C_T42_repeat_L1,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_3H11_A_T53_repeat_L1,X_3H11_B_T53_repeat_L1,X_3H11_C_T53_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1
GW101-3H11_contig_1_1447,381,552,572,556,613,628,6,22,13,126,38,1,291,149,130,217,252,234,37,42,15
GW101-3H11_contig_1_1448,1068,1217,1213,1171,1275,1550,56,96,145,381,117,13,494,280,269,409,318,274,52,58,21
GW101-3H11_contig_1_1449,127,190,209,304,260,249,14,13,35,50,10,0,60,31,25,47,45,54,53,53,30
GW101-3H11_contig_1_145,174,198,191,255,342,287,1,5,0,55,26,0,98,59,70,72,57,34,8,5,4
GW101-3H11_contig_1_1450,703,727,651,545,559,762,100,59,86,342,122,6,433,271,279,259,234,191,134,102,67
GW101-3H11_contig_1_1451,1057,1102,1023,1041,1098,1388,112,115,134,457,139,10,451,330,294,295,201,178,46,48,38
GW101-3H11_contig_1_1452,166,225,195,149,179,179,8,10,4,24,5,0,32,13,21,47,36,28,24,15,11
GW101-3H11_contig_1_1453,279,324,387,256,327,338,26,31,19,74,13,0,127,84,52,83,76,80,84,62,33
GW101-3H11_contig_1_1454,491,526,554,560,636,735,16,17,13,249,105,8,529,294,306,358,306,281,30,37,21
GW101-3H11_contig_1_1455,320,291,286,241,216,280,161,129,200,126,30,2,157,104,77,99,45,59,16,18,5
GW101-3H11_contig_1_1456,50,56,56,43,34,53,2,6,5,32,7,0,40,15,16,5,20,17,23,16,8
GW101-3H11_contig_1_1457,6,3,9,4,7,14,1,0,0,1,0,0,5,1,2,5,0,1,0,0,2
GW101-3H11_contig_1_1458,8,5,14,5,6,6,3,4,0,1,0,0,1,2,3,2,5,8,14,4,6
GW101-3H11_contig_1_1459,37,39,23,26,17,34,6,4,12,13,3,0,20,16,8,9,5,13,39,23,24
GW101-3H11_contig_1_146,2038,2054,1863,1479,1973,2460,108,88,90,985,307,16,1401,890,915,620,718,499,139,103,85
GW101-3H11_contig_1_1460,25,29,20,34,28,41,9,7,15,14,1,0,20,19,10,20,9,7,99,43,42
GW101-3H11_contig_1_1461,25,15,24,44,32,49,0,1,7,15,0,0,32,23,18,30,6,25,21,16,10
GW101-3H11_contig_1_1462,4,5,4,8,4,2,0,3,0,1,0,0,1,4,0,3,0,0,4,0,0
GW101-3H11_contig_1_1463,6,2,3,2,5,0,0,0,0,4,0,0,0,1,1,1,2,0,0,0,0
GW101-3H11_contig_1_1464,2,3,1,0,6,1,0,0,0,0,0,0,1,1,0,3,0,0,3,7,2
GW101-3H11_contig_1_1465,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GW101-3H11_contig_1_1466,0,2,0,2,2,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0
GW101-3H11_contig_1_1467,6,1,2,6,3,2,0,0,0,1,2,0,1,0,4,2,0,0,0,0,0
GW101-3H11_contig_1_1468,32,50,55,74,106,98,1,3,12,18,5,0,21,17,13,16,5,14,22,10,8
GW101-3H11_contig_1_1469,1609,1554,1509,2276,2852,3370,66,59,56,499,152,10,741,349,433,455,413,336,214,137,115
GW101-3H11_contig_1_147,12,18,26,36,32,23,5,5,13,23,4,0,26,9,18,4,10,7,24,27,19
GW101-3H11_contig_1_1470,1579,1718,1532,1795,2161,2420,36,19,19,492,130,11,561,319,286,400,352,403,175,117,88
GW101-3H11_contig_1_1471,613,630,521,694,739,1079,34,40,64,220,59,5,273,175,168,158,104,183,78,62,30
GW101-3H11_contig_1_1472,3,3,0,4,1,10,0,0,5,3,0,0,2,0,0,0,0,2,3,3,5
GW101-3H11_contig_1_1473,17,13,19,10,13,13,4,2,5,8,2,0,11,4,4,4,0,3,3,6,2
GW101-3H11_contig_1_1474,0,0,2,3,6,0,0,0,0,4,0,0,1,2,1,0,0,2,0,1,1
GW101-3H11_contig_1_1475,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GW101-3H11_contig_1_1476,0,0,2,4,3,3,0,0,0,2,1,0,1,0,1,0,0,0,2,0,0
GW101-3H11_contig_1_1477,9,9,7,4,10,7,0,0,0,6,0,0,5,4,5,1,5,3,14,3,6
GW101-3H11_contig_1_1478,10,10,20,25,15,14,5,1,0,5,2,0,11,4,5,5,4,8,6,10,3
GW101-3H11_contig_1_1479,19,10,7,12,14,13,0,0,0,7,2,0,3,2,2,8,11,3,1,3,1
GW101-3H11_contig_1_148,19,14,28,11,20,24,3,8,0,5,2,0,7,9,6,5,0,4,2,5,2
GW101-3H11_contig_1_1480,6,2,1,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
GW101-3H11_contig_1_1481,4,1,0,5,7,4,0,0,3,4,0,0,1,0,1,0,0,0,0,0,0
GW101-3H11_contig_1_1482,8,14,18,11,6,12,8,1,7,4,0,0,2,3,2,4,0,2,1,0,0
GW101-3H11_contig_1_1483,8,10,16,21,8,15,0,0,0,7,0,0,6,3,10,12,0,6,1,0,0
GW101-3H11_contig_1_1484,1,3,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
GW101-3H11_contig_1_1485,5,4,1,8,2,3,0,1,0,3,0,0,2,2,1,0,2,0,10,2,8
GW101-3H11_contig_1_1486,3,6,5,2,10,10,2,0,0,1,0,0,4,2,1,2,0,4,3,2,1
GW101-3H11_contig_1_1487,1,6,2,4,4,5,0,1,0,6,0,0,2,1,0,4,0,1,0,2,0
GW101-3H11_contig_1_1488,10,9,14,8,8,9,0,0,0,3,1,0,7,5,1,6,5,5,1,1,2
GW101-3H11_contig_1_1489,3,10,7,16,13,22,0,0,0,3,1,0,2,3,2,4,0,3,1,0,0
GW101-3H11_contig_1_149,11,13,15,14,12,15,2,1,0,6,3,0,8,2,7,2,0,2,1,0,7
GW101-3H11_contig_1_1490,4,10,16,38,27,30,1,1,7,1,4,0,6,7,5,7,11,4,8,6,6
GW101-3H11_contig_1_1491,3,3,2,7,9,18,0,0,0,0,0,0,1,2,2,4,2,2,0,0,0
GW101-3H11_contig_1_1492,6,6,1,9,4,13,0,0,0,1,0,0,2,3,2,0,0,2,0,0,1
GW101-3H11_contig_1_1493,1,3,0,5,5,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
GW101-3H11_contig_1_1494,7,2,1,7,4,12,0,2,0,2,0,0,1,3,0,1,0,1,0,0,0
GW101-3H11_contig_1_1495,13,8,13,13,19,16,0,0,1,4,2,0,15,10,3,11,11,5,3,2,2
GW101-3H11_contig_1_1496,60,59,51,54,60,88,2,10,3,36,13,0,58,35,29,26,23,26,73,49,21
GW101-3H11_contig_1_1497,3,2,2,6,0,5,0,0,0,1,0,0,1,1,0,0,2,0,1,0,0
GW101-3H11_contig_1_1498,20,27,25,20,32,23,6,3,0,9,1,0,24,11,10,3,9,13,5,8,2
GW101-3H11_contig_1_1499,54,0,0,0,22,129,4,32,15,0,8,0,29,38,14,0,20,0,0,13,10
GW101-3H11_contig_1_15,5,5,7,16,8,18,0,3,0,5,0,0,8,3,2,1,0,7,3,2,1
GW101-3H11_contig_1_150,240,223,173,180,209,276,50,48,23,151,39,1,150,133,88,73,59,69,38,30,24
GW101-3H11_contig_1_1500,26,30,32,22,26,29,2,2,2,10,3,0,7,5,12,6,3,3,2,4,2
GW101-3H11_contig_1_1501,44,39,26,23,22,32,2,3,4,7,7,0,11,8,6,10,6,7,14,10,4
GW101-3H11_contig_1_1502,8,5,6,4,2,3,1,5,3,3,0,0,3,0,4,0,0,0,2,0,0
GW101-3H11_contig_1_1503,29,27,33,24,22,45,3,4,13,3,1,0,10,6,3,4,3,8,4,3,2
GW101-3H11_contig_1_1504,5,12,3,5,4,3,0,0,0,1,0,0,5,0,1,0,2,0,3,3,0
GW101-3H11_contig_1_1505,10,3,12,17,8,13,3,0,0,4,1,0,6,2,3,3,1,6,7,3,7
GW101-3H11_contig_1_1506,394,511,448,278,375,453,120,120,188,169,67,3,389,279,268,377,248,300,111,134,77
GW101-3H11_contig_1_1507,1693,2146,1921,985,1298,1413,458,576,753,648,221,5,1373,1115,1008,1136,1005,1252,1171,1340,855
GW101-3H11_contig_1_1508,2640,2580,1983,1867,2015,2959,465,421,412,1777,732,22,2213,1470,1480,1676,1486,1376,1193,985,740
GW101-3H11_contig_1_1509,103,97,78,131,120,125,7,7,5,30,17,0,72,46,44,31,18,31,10,9,4
GW101-3H11_contig_1_151,55,35,31,40,35,61,17,21,16,32,12,2,42,29,31,20,13,15,15,14,4
GW101-3H11_contig_1_1510,157,183,131,165,177,229,13,25,63,84,26,0,90,72,68,35,21,43,15,12,8
GW101-3H11_contig_1_1511,39,69,64,35,55,52,6,11,0,23,10,1,45,18,19,12,15,21,8,2,12
GW101-3H11_contig_1_1512,78,96,72,62,81,87,17,21,44,28,14,1,35,27,26,26,18,12,156,91,110
GW101-3H11_contig_1_1513,73,56,40,54,52,94,25,18,10,80,12,0,171,75,90,143,118,114,46,30,20
GW101-3H11_contig_1_1514,35,17,32,38,17,41,3,1,3,7,3,0,19,9,12,10,3,8,62,28,28
GW101-3H11_contig_1_1515,8,7,9,1,3,6,2,3,0,1,1,0,6,2,2,3,2,0,4,0,4
GW101-3H11_contig_1_1516,15,18,16,16,18,15,3,6,4,7,2,0,14,4,5,8,16,6,12,9,11
GW101-3H11_contig_1_1517,18,33,24,23,29,45,13,7,1,22,4,0,24,11,14,14,5,7,13,8,5
GW101-3H11_contig_1_1518,67,38,59,31,33,44,8,16,8,26,9,0,25,15,15,5,16,7,24,34,28
GW101-3H11_contig_1_1519,137,152,175,171,213,278,16,21,20,41,19,1,60,28,30,36,23,29,33,23,19
GW101-3H11_contig_1_152,10,8,1,8,10,18,0,0,0,10,3,0,12,6,6,9,5,13,3,7,2
GW101-3H11_contig_1_1520,145,238,185,104,168,154,63,60,50,47,25,1,53,35,38,33,37,26,2,4,3
GW101-3H11_contig_1_1521,1063,1363,1488,729,1266,1452,21,63,63,117,52,2,373,210,180,367,320,250,43,71,26
GW101-3H11_contig_1_1522,1454,1220,900,808,978,1923,328,291,459,1106,427,15,1252,943,818,534,592,643,144,145,84
GW101-3H11_contig_1_1523,138,180,192,191,194,214,18,39,25,51,14,0,74,47,50,110,72,68,18,17,10
GW101-3H11_contig_1_1524,175,152,133,197,229,200,12,3,25,52,14,2,94,55,43,59,55,68,8,14,11
GW101-3H11_contig_1_1525,574,544,374,448,483,531,63,54,62,212,79,0,313,198,235,124,140,133,51,39,23
GW101-3H11_contig_1_1526,54,84,55,95,95,89,3,9,4,27,14,3,25,29,22,21,9,18,38,21,14
GW101-3H11_contig_1_1527,395,390,294,201,211,378,161,143,355,195,87,0,258,242,236,150,128,144,2268,1354,1295
GW101-3H11_contig_1_1528,26,18,31,53,53,59,5,2,5,9,10,0,26,11,17,37,22,33,19,14,5
GW101-3H11_contig_1_1529,108,149,214,94,142,160,4,13,11,45,20,0,172,132,102,122,80,123,20,25,12
GW101-3H11_contig_1_153,23,12,13,43,47,113,0,0,2,19,5,1,61,33,25,17,20,26,6,1,8
GW101-3H11_contig_1_1530,132,114,135,71,84,145,15,33,11,75,19,1,163,88,85,67,58,68,4,8,0
GW101-3H11_contig_1_1531,53,62,70,52,68,72,5,9,7,27,11,0,57,36,32,27,30,37,42,34,23
GW101-3H11_contig_1_1532,230,254,234,182,220,268,20,30,46,114,46,1,160,112,110,90,89,94,414,308,240
GW101-3H11_contig_1_1533,608,626,608,536,602,763,29,31,43,234,69,1,359,223,187,243,272,240,203,146,156
GW101-3H11_contig_1_1534,260,280,249,325,352,406,5,13,17,85,32,1,134,67,63,87,52,57,61,41,26
GW101-3H11_contig_1_1535,242,220,221,231,251,321,23,21,10,94,32,2,111,78,100,108,80,64,27,15,20
GW101-3H11_contig_1_1536,53,62,70,52,68,72,5,9,7,27,11,0,57,36,32,27,30,37,42,34,23
GW101-3H11_contig_1_1537,223,237,204,149,177,274,22,28,27,81,25,1,122,65,86,101,61,60,359,371,261
GW101-3H11_contig_1_1538,1220,1475,1376,1322,1584,1514,40,71,87,313,89,7,375,190,216,394,188,171,36,39,30
GW101-3H11_contig_1_1539,4588,5095,5107,5099,5773,6527,190,270,348,1562,585,44,2536,1175,1371,2135,1726,1591,161,188,79
GW101-3H11_contig_1_154,11,3,4,11,9,25,0,0,0,2,1,0,11,7,2,13,0,2,7,4,1
GW101-3H11_contig_1_1540,118,130,124,266,509,482,6,9,9,122,88,1,168,125,87,94,81,61,17,27,18
GW101-3H11_contig_1_1541,1202,1149,1031,678,744,1104,133,124,174,553,221,14,793,545,580,387,351,375,126,130,55
GW101-3H11_contig_1_1542,97,169,160,456,773,545,7,5,0,626,178,11,1349,629,849,380,188,184,6,5,2
GW101-3H11_contig_1_1543,71,117,66,232,322,319,7,1,7,260,191,7,519,394,440,133,124,87,23,24,16
GW101-3H11_contig_1_1544,48,71,76,121,157,114,0,2,10,285,208,9,420,347,284,104,100,94,81,64,41
GW101-3H11_contig_1_1545,604,706,613,630,744,828,84,41,104,256,87,3,360,220,225,315,245,259,100,66,67
GW101-3H11_contig_1_1546,1013,1099,1012,913,1058,1200,110,103,104,430,122,8,468,264,234,488,425,324,69,57,24
GW101-3H11_contig_1_1547,27,40,41,60,78,77,4,4,1,17,4,0,14,9,2,6,0,14,12,9,8
GW101-3H11_contig_1_1548,183,360,346,515,541,499,12,25,15,81,24,1,98,64,50,72,51,67,39,22,6
GW101-3H11_contig_1_1549,190,260,251,482,607,600,31,21,41,78,32,0,141,62,71,112,101,104,56,43,36
GW101-3H11_contig_1_155,6,3,4,4,8,21,4,0,0,2,0,0,8,6,4,2,0,4,0,2,2
GW101-3H11_contig_1_1550,473,393,307,309,311,421,90,85,95,251,58,1,262,155,181,130,104,139,87,78,67
GW101-3H11_contig_1_1551,365,334,363,483,472,648,39,45,33,157,50,1,119,88,79,102,65,67,72,34,36
GW101-3H11_contig_1_1552,4293,4053,3279,4629,4252,5487,238,306,162,1179,444,22,978,762,644,659,509,498,186,164,112
GW101-3H11_contig_1_1553,1008,984,823,1042,969,1154,33,35,29,163,73,2,89,64,51,118,79,61,36,22,14
GW101-3H11_contig_1_1554,394,313,256,349,309,483,13,5,8,45,22,6,22,18,22,21,13,21,19,15,10
GW101-3H11_contig_1_1555,3729,3362,3151,4732,4886,6206,15,13,7,1266,311,23,951,697,328,1328,967,578,48,41,30
GW101-3H11_contig_1_1556,4142,4142,3512,4023,4941,5036,34,20,25,1350,290,18,1043,712,364,1481,993,646,45,16,19
GW101-3H11_contig_1_1557,455,519,475,642,707,792,20,34,44,136,55,4,218,99,130,195,129,122,45,33,34
GW101-3H11_contig_1_1558,243,330,238,406,427,482,8,21,9,71,23,0,59,53,35,55,35,46,20,11,9
GW101-3H11_contig_1_1559,3950,4882,4929,5123,6102,6215,57,129,178,1181,448,25,2751,1195,1450,2491,2006,2244,123,141,57
GW101-3H11_contig_1_156,31,26,23,25,14,46,3,2,5,8,3,0,23,10,7,8,5,11,3,1,2
GW101-3H11_contig_1_1560,202,311,308,236,236,233,2,1,6,39,15,3,67,48,49,75,57,96,37,23,28
GW101-3H11_contig_1_1561,754,1072,1210,834,1023,918,17,63,67,105,38,1,181,83,78,231,274,227,20,17,6
GW101-3H11_contig_1_1562,1872,2526,2844,2167,2513,2633,69,145,273,229,110,3,341,120,144,499,380,232,21,53,23
GW101-3H11_contig_1_1563,965,1018,1052,1834,1787,2185,37,29,26,599,304,11,833,582,601,602,598,443,147,71,72
GW101-3H11_contig_1_1564,76,84,65,140,173,201,13,6,4,50,24,2,56,39,43,69,83,84,20,3,21
GW101-3H11_contig_1_1565,28,29,35,55,86,92,1,0,8,16,6,0,45,39,36,42,40,42,7,14,7
GW101-3H11_contig_1_1566,173,201,161,228,289,306,22,21,6,112,32,4,119,90,88,74,42,61,39,17,19
GW101-3H11_contig_1_1567,21,21,14,34,42,65,4,7,0,4,7,0,13,10,7,5,16,7,23,10,7
GW101-3H11_contig_1_1568,22,29,15,64,57,103,16,10,7,32,7,0,21,15,12,6,10,12,15,5,7
GW101-3H11_contig_1_1569,50,67,31,192,221,422,8,12,27,50,30,1,35,32,35,54,46,28,34,9,19
GW101-3H11_contig_1_157,306,426,368,103,172,149,19,8,20,26,6,0,49,23,35,84,42,26,15,4,7
GW101-3H11_contig_1_1570,62,74,60,272,258,424,10,18,14,71,20,1,52,36,36,71,43,65,23,4,10
GW101-3H11_contig_1_1571,2326,1985,1646,1511,1452,2064,511,469,927,1215,366,22,1170,861,792,721,528,587,269,194,144
GW101-3H11_contig_1_1572,20,44,21,48,46,67,9,5,7,25,5,0,18,7,15,8,8,12,2,3,2
GW101-3H11_contig_1_1573,57,53,57,83,78,114,1,3,13,21,16,0,19,16,11,26,12,22,15,5,7
GW101-3H11_contig_1_1574,278,211,247,327,295,428,62,61,84,124,49,1,134,75,100,92,66,54,22,25,15
GW101-3H11_contig_1_1575,344,403,350,290,318,456,33,29,91,59,6,1,66,25,42,30,43,26,12,17,4
GW101-3H11_contig_1_1576,311,256,309,214,234,223,56,44,45,47,17,0,53,32,43,33,15,26,10,5,5
GW101-3H11_contig_1_1577,497,529,474,378,427,470,12,17,9,124,35,1,111,62,62,48,67,39,7,3,2
GW101-3H11_contig_1_1578,176,177,150,141,139,189,30,32,28,83,33,2,120,94,88,73,70,93,18,17,14
GW101-3H11_contig_1_1579,16,4,9,23,21,20,2,6,12,9,2,0,24,17,22,34,9,40,6,2,2
GW101-3H11_contig_1_158,258,234,222,266,314,394,1,4,0,111,38,1,154,72,109,134,78,74,4,3,4
GW101-3H11_contig_1_1580,17,14,25,89,60,52,5,11,16,13,7,0,113,77,86,47,46,110,2,1,3
GW101-3H11_contig_1_1581,6,7,4,11,10,13,2,0,4,5,2,0,17,20,21,19,14,26,5,2,3
GW101-3H11_contig_1_1582,76,74,53,67,54,105,14,21,30,45,11,0,53,41,29,27,40,40,30,13,15
GW101-3H11_contig_1_1583,201,154,170,110,120,197,54,75,120,94,25,0,89,56,62,49,65,53,4,6,1
GW101-3H11_contig_1_1584,256,221,247,118,160,190,47,43,61,85,30,0,110,66,72,86,69,37,172,86,81
GW101-3H11_contig_1_1585,21,22,20,6,18,17,2,1,5,7,0,0,15,7,6,5,3,4,11,15,6
GW101-3H11_contig_1_1586,114,83,79,102,101,129,15,3,18,51,20,0,71,51,30,17,41,43,86,45,37
GW101-3H11_contig_1_1587,31,17,29,27,34,28,2,0,14,13,7,1,17,22,10,18,14,18,0,1,1
GW101-3H11_contig_1_1588,45,34,20,37,55,62,5,2,0,32,2,0,21,16,6,5,15,6,9,15,8
GW101-3H11_contig_1_1589,24,15,10,24,16,26,1,1,0,14,0,0,4,2,5,1,3,0,5,4,2
GW101-3H11_contig_1_159,174,162,119,187,181,258,4,2,6,47,16,0,91,52,49,59,46,50,23,20,8
GW101-3H11_contig_1_1590,38,39,17,45,41,68,1,1,0,7,4,0,11,15,7,11,11,14,20,11,9
GW101-3H11_contig_1_1591,245,257,226,207,210,263,7,18,49,71,32,4,150,116,94,101,99,103,44,30,23
GW101-3H11_contig_1_1592,673,711,564,479,421,434,171,121,217,454,220,17,556,423,328,165,114,174,2568,2404,1279
GW101-3H11_contig_1_1593,247,362,376,440,507,512,20,32,4,42,14,0,46,24,25,113,78,31,11,8,14
GW101-3H11_contig_1_1594,214,423,356,497,655,539,16,18,44,53,15,0,81,38,27,134,80,80,62,30,38
GW101-3H11_contig_1_1595,270,294,357,587,546,571,17,29,22,51,23,2,52,30,28,160,80,95,45,34,38
GW101-3H11_contig_1_1596,90,99,130,64,75,89,35,41,79,28,3,0,73,50,46,55,49,68,1637,1101,1016
GW101-3H11_contig_1_1597,125,130,123,136,169,186,29,28,58,43,5,0,67,43,40,99,73,43,136,115,86
GW101-3H11_contig_1_1598,171,157,169,183,209,216,27,36,61,97,40,5,99,67,75,85,59,61,65,31,31
GW101-3H11_contig_1_1599,525,534,446,433,489,563,45,48,59,213,64,1,317,199,183,159,120,146,311,176,211
GW101-3H11_contig_1_16,74,65,45,73,74,62,2,6,9,26,10,1,30,43,24,35,15,25,3,4,3
GW101-3H11_contig_1_160,112,172,142,184,173,182,13,19,22,30,21,3,64,52,52,51,60,87,37,25,24
GW101-3H11_contig_1_1600,182,246,234,105,162,165,1,7,1,28,13,0,82,33,41,138,50,102,3,3,3
GW101-3H11_contig_1_1601,11,14,17,7,8,10,2,2,2,7,1,0,5,4,2,6,4,5,1,3,1
GW101-3H11_contig_1_1602,120,127,124,72,114,116,12,28,34,53,20,1,51,48,34,33,31,28,154,123,108
GW101-3H11_contig_1_1603,136,172,192,84,122,183,13,14,15,54,12,0,50,35,37,18,24,18,6,11,4
GW101-3H11_contig_1_1604,125,154,156,86,88,104,41,30,35,65,22,0,56,23,22,9,10,11,20,25,7
GW101-3H11_contig_1_1605,320,363,334,184,178,205,97,79,64,99,37,0,95,60,76,46,26,28,12,14,5
GW101-3H11_contig_1_1606,590,757,585,389,443,460,139,66,86,287,99,5,281,174,153,93,83,69,47,35,23
GW101-3H11_contig_1_1607,145,173,166,102,138,160,17,24,8,72,24,2,48,32,46,22,15,11,11,4,5
GW101-3H11_contig_1_1608,325,295,323,195,182,204,49,72,158,128,22,2,87,55,61,36,18,19,15,2,7
GW101-3H11_contig_1_1609,130,146,141,88,81,86,10,22,20,35,9,1,33,20,17,12,9,9,6,4,4
GW101-3H11_contig_1_161,537,743,922,543,710,827,39,58,57,158,91,3,385,253,195,425,501,464,523,421,204
GW101-3H11_contig_1_1610,212,293,317,290,274,309,15,12,4,55,17,0,70,36,34,70,41,81,15,11,5
GW101-3H11_contig_1_1611,194,181,215,226,259,303,1,7,10,88,61,2,117,106,87,136,87,108,5,15,2
GW101-3H11_contig_1_1612,321,339,325,369,434,489,32,44,51,100,45,0,159,113,87,155,160,107,17,17,10
GW101-3H11_contig_1_1613,301,280,285,345,389,444,27,22,31,78,36,2,100,83,60,141,118,87,13,10,22
GW101-3H11_contig_1_1614,293,244,237,221,228,271,30,46,84,124,42,0,169,54,99,60,59,52,111,63,52
GW101-3H11_contig_1_1615,391,383,328,452,425,488,54,37,64,84,16,2,42,50,55,73,59,52,49,38,26
GW101-3H11_contig_1_1616,183,190,185,270,292,331,22,24,57,40,9,1,23,26,24,30,27,28,15,13,7
GW101-3H11_contig_1_1617,196,204,207,197,235,285,17,21,37,66,27,1,84,65,53,74,71,54,35,17,28
GW101-3H11_contig_1_1618,148,247,198,198,249,230,17,21,25,60,20,0,131,80,74,95,70,76,18,23,18
GW101-3H11_contig_1_1619,67,73,75,62,53,88,8,10,8,38,18,0,33,20,26,19,14,21,8,9,2
GW101-3H11_contig_1_162,917,871,762,1284,1333,1668,38,50,69,243,110,4,399,278,250,480,552,497,190,162,94
GW101-3H11_contig_1_1620,154,144,142,149,220,285,4,4,6,56,22,0,91,46,43,56,64,65,9,6,5
GW101-3H11_contig_1_1621,22,13,23,17,35,37,7,2,2,5,7,0,17,11,6,5,4,12,6,2,4
GW101-3H11_contig_1_1622,3,9,1,2,8,5,0,1,0,1,0,0,8,3,2,1,4,0,0,0,0
GW101-3H11_contig_1_1623,6,12,12,10,9,20,1,2,3,7,2,0,16,8,4,1,7,5,5,3,0
GW101-3H11_contig_1_1624,5,7,5,7,6,4,0,3,5,3,0,0,8,7,3,3,5,6,10,7,5
GW101-3H11_contig_1_1625,245,266,292,319,381,407,13,7,9,75,43,5,150,84,57,129,113,108,52,52,17
GW101-3H11_contig_1_1626,1361,1273,1117,899,954,1258,245,251,461,627,233,17,729,519,514,526,450,413,197,146,103
GW101-3H11_contig_1_1627,2105,2148,1809,1886,1942,2345,194,199,258,1032,381,22,1385,969,970,728,714,684,215,197,140
GW101-3H11_contig_1_1628,402,432,339,796,1057,1765,12,13,30,193,52,3,286,138,148,326,278,286,40,29,17
GW101-3H11_contig_1_1629,409,398,362,477,432,517,22,16,32,125,19,0,94,78,66,66,47,46,42,37,23
GW101-3H11_contig_1_163,73,69,69,80,99,107,21,19,29,43,5,0,52,32,32,21,22,32,43,23,15
GW101-3H11_contig_1_1630,603,624,550,759,641,861,61,44,64,161,69,3,226,124,124,103,88,86,39,47,24
GW101-3H11_contig_1_1631,1218,1188,1033,1518,1368,1728,91,114,106,486,163,7,606,341,318,261,232,256,100,74,73
GW101-3H11_contig_1_1632,459,445,411,594,603,713,15,24,20,259,88,2,211,156,157,94,105,77,382,326,242
GW101-3H11_contig_1_1633,261,316,316,369,383,382,4,5,17,51,13,0,87,30,40,58,53,64,10,14,5
GW101-3H11_contig_1_1634,812,1152,1177,1102,1315,1345,51,60,52,236,97,9,346,192,205,349,315,323,106,68,73
GW101-3H11_contig_1_1635,142,178,177,203,258,284,12,20,20,65,17,0,103,93,76,110,107,102,42,31,20
GW101-3H11_contig_1_1636,942,1254,1088,1070,1282,1205,155,146,68,160,65,3,272,150,173,285,217,199,56,59,34
GW101-3H11_contig_1_1637,4807,5047,3973,5304,5361,6126,446,397,632,2318,641,40,2899,1599,1617,1574,1342,1551,225,228,129
GW101-3H11_contig_1_1638,3819,4011,3370,4214,3997,4915,374,516,1008,1274,280,15,1194,696,726,1056,774,718,554,514,312
GW101-3H11_contig_1_1639,1660,1836,1672,1922,1936,2305,56,60,106,578,118,5,719,426,443,625,479,432,78,100,46
GW101-3H11_contig_1_164,350,342,327,409,428,531,25,42,23,174,48,2,253,149,136,109,113,96,15,16,14
GW101-3H11_contig_1_1640,1737,2124,2040,1572,2036,1923,40,62,48,392,148,8,1031,594,596,930,965,1055,32,52,23
GW101-3H11_contig_1_1641,325,342,344,234,312,312,7,3,9,126,38,0,188,129,107,154,142,125,198,167,114
GW101-3H11_contig_1_1642,928,1008,969,585,757,843,59,52,44,279,72,6,361,249,211,273,261,281,46,49,22
GW101-3H11_contig_1_1643,46,44,43,69,78,89,3,5,9,20,7,0,35,13,22,16,20,16,8,11,4
GW101-3H11_contig_1_1644,93,96,94,112,122,139,3,3,3,45,12,0,54,32,32,30,21,25,42,30,26
GW101-3H11_contig_1_1645,130,197,175,264,283,298,2,2,8,46,27,0,44,30,28,44,40,32,6,5,2
GW101-3H11_contig_1_1646,387,446,471,560,626,662,12,10,13,128,44,2,162,110,94,143,102,109,16,22,7
GW101-3H11_contig_1_1647,733,715,757,883,969,1030,12,18,17,279,78,3,360,187,189,199,171,176,20,26,11
GW101-3H11_contig_1_1648,728,966,960,1153,1311,1497,42,49,62,288,115,6,591,314,309,392,307,352,46,54,22
GW101-3H11_contig_1_1649,53,58,70,34,36,90,12,7,13,19,10,0,22,13,19,14,17,12,5,7,2
GW101-3H11_contig_1_165,180,174,153,196,447,412,33,27,47,59,14,3,75,54,52,22,27,11,32,23,10
GW101-3H11_contig_1_1650,412,436,314,171,193,278,49,47,74,202,63,4,401,365,393,152,151,139,39,37,22
GW101-3H11_contig_1_1651,30,38,29,28,31,20,0,7,0,20,8,0,25,18,5,11,10,11,11,6,6
GW101-3H11_contig_1_1652,118,116,100,87,117,123,12,20,21,46,6,0,55,31,33,30,31,31,8,13,13
GW101-3H11_contig_1_1653,185,265,270,153,198,229,10,4,9,59,13,1,109,29,35,126,104,95,15,21,4
