"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GW101-3H11_contig_1_1",29.848960391138,0.81282436655156,0.485167783222491,0.0370847148753197,0.10847261839367
"GW101-3H11_contig_1_10",6.67203681641291,0.0208269752490245,0.582500335609257,0.956076207558091,0.978523986171729
"GW101-3H11_contig_1_100",6.65649443311436,-0.0760914120865458,0.568077433135944,0.838238640299053,0.916435073176776
"GW101-3H11_contig_1_1000",10.2208816742161,0.416952474870732,0.594010687423857,0.309528705637995,0.493912484627214
"GW101-3H11_contig_1_1001",4.88049742049357,0.108787488717311,0.59079428313685,0.77228893249003,0.875359312547034
"GW101-3H11_contig_1_1002",1315.1913624892,0.51727826056146,0.432184342467973,0.147620667870546,0.298405687046394
"GW101-3H11_contig_1_1003",530.1037587568,-0.744439004575122,0.42213412696011,0.0365062635649973,0.10703752621552
"GW101-3H11_contig_1_1004",35.443072729547,-0.804250402861529,0.500335210572613,0.047253216266751,0.129385718893026
"GW101-3H11_contig_1_1005",5.95321739944104,-0.603058145907364,0.729325891931707,0.163030098050007,0.318903544424882
"GW101-3H11_contig_1_1006",188.757738947436,-0.443673348869054,0.367336567892461,0.168020009778992,0.32661607845341
"GW101-3H11_contig_1_1007",145.631701659295,-0.876879181655444,0.392308955690697,0.0107582160071964,0.0434507628577504
"GW101-3H11_contig_1_1008",52.4953637659757,-0.09836335707887,0.4713572687989,0.789212682350332,0.884134144038198
"GW101-3H11_contig_1_1009",72.7923931782803,-0.0791365297529386,0.444811357794061,0.824310084053558,0.907322853104555
"GW101-3H11_contig_1_101",43.9887582922456,-0.294898627298213,0.382127120570425,0.366250962804749,0.552099499692661
"GW101-3H11_contig_1_1010",168.138727152812,0.225112039910395,0.408300240512926,0.517461356332114,0.688710342916236
"GW101-3H11_contig_1_1011",5.35286251492277,-0.249263120351111,0.676158772054281,0.437606980129136,0.62095197024617
"GW101-3H11_contig_1_1012",6.98381636497965,-0.891787009981448,0.822459843033249,0.0647036063975518,0.163956421129449
"GW101-3H11_contig_1_1013",31.5130561904519,0.898095789568675,0.485102598820331,0.0250072198851469,0.0817776424469926
"GW101-3H11_contig_1_1014",1.57376752986841,-0.000836375206455393,0.676363225015159,0.936277939321041,NA
"GW101-3H11_contig_1_1015",30.1115662379791,0.668978578507578,0.512691520128295,0.0889577253263131,0.206955580148135
"GW101-3H11_contig_1_1016",12.5101083767872,1.69758528333636,0.824964197714461,0.00512955347441209,0.0240188675966986
"GW101-3H11_contig_1_1017",20.0015659367232,2.02432039214387,0.674065916625624,0.000286376077758287,0.00234596968749466
"GW101-3H11_contig_1_1018",10.8583947797602,1.26678709091819,0.801792651254232,0.0212726272516489,0.0723055352099215
"GW101-3H11_contig_1_1019",13.0224425991579,1.46403520655455,0.710870007231701,0.00621023280466625,0.0280428663952357
"GW101-3H11_contig_1_102",90.3517636457332,-0.512837366286509,0.357025374069089,0.102262829041997,0.228849763667382
"GW101-3H11_contig_1_1020",16.5961451833514,0.460835581738854,0.529275016608685,0.255018681132691,0.436914589735103
"GW101-3H11_contig_1_1021",23.3755094914046,-0.745538939260281,0.528523049393363,0.0711408879980696,0.175579002332424
"GW101-3H11_contig_1_1022",33.1915085087806,-0.390349180709048,0.425727994929114,0.268294704915474,0.450864081405821
"GW101-3H11_contig_1_1023",27.4044139803525,-0.308211225305257,0.427886251897156,0.381205264201657,0.567678055944811
"GW101-3H11_contig_1_1024",16.4996546090109,0.0260169199894039,0.463692531791407,0.945309005354494,0.974458820086864
"GW101-3H11_contig_1_1025",8.51256954214801,0.0799798033468604,0.541028846434327,0.835635153784183,0.915069011232747
"GW101-3H11_contig_1_1026",4.1787688033525,-0.460122762169481,0.726527714365213,0.251218463201539,NA
"GW101-3H11_contig_1_1027",7.34261575093405,-0.179466677641262,0.597499372276916,0.619375625132069,0.768926352688346
"GW101-3H11_contig_1_1028",2.75730913689401,0.109265030564729,0.688546687693651,0.687321704854628,NA
"GW101-3H11_contig_1_1029",191.958654196388,0.335960446309943,0.306846277907295,0.230050064173566,0.406899441414426
"GW101-3H11_contig_1_103",21.4149096031371,-0.428132648312567,0.494948362215385,0.263952522500643,0.446476830537996
"GW101-3H11_contig_1_1030",13.2701904005142,-0.679739450929585,0.619048108190503,0.118593889442098,0.255796926429632
"GW101-3H11_contig_1_1031",11.9950290363164,-0.23413974549959,0.561291063518836,0.526920951057984,0.697572463774119
"GW101-3H11_contig_1_1032",59.6339600207799,0.12093846444753,0.378105610035884,0.711425716216158,0.833017770450933
"GW101-3H11_contig_1_1033",90.8417542217747,0.683152681474378,0.363726893465206,0.0335882221156466,0.100665366355467
"GW101-3H11_contig_1_1034",72.6940638159925,2.42856662533146,0.486812515873871,6.16011887971041e-08,1.69927088824665e-06
"GW101-3H11_contig_1_1035",216.836492330518,-2.36122406105983,0.363167120271913,1.40388286394555e-11,9.18184679564388e-10
"GW101-3H11_contig_1_1036",138.976922398052,-0.345698067094129,0.37950737770272,0.292990396954224,0.477138979778866
"GW101-3H11_contig_1_1037",63.9895332702563,-0.0892245683351245,0.350267214768576,0.773036177122301,0.875359312547034
"GW101-3H11_contig_1_1038",5.18979382364094,-0.368072062786334,0.655825681849332,0.347682920700793,0.53484607110839
"GW101-3H11_contig_1_1039",33.2764708989879,-0.94198218470254,0.524078372779648,0.0254364833134956,0.0824499918754794
"GW101-3H11_contig_1_104",27.8511261506858,1.77642167702154,0.565091483931395,0.000271785184472471,0.00224916106742014
"GW101-3H11_contig_1_1040",28.6549161858166,0.30761654900167,0.435285223620237,0.391038661329404,0.577654561635969
"GW101-3H11_contig_1_1041",74.6203452742206,0.564648460115029,0.392534825289347,0.0971405572999502,0.220365422198652
"GW101-3H11_contig_1_1042",34.8979554257474,0.245495501864611,0.430586557653568,0.493327798912157,0.665926839077496
"GW101-3H11_contig_1_1043",257.197898808402,-0.0418625439429979,0.303468149138554,0.8787432991454,0.940930572493952
"GW101-3H11_contig_1_1044",672.854649184085,0.157505726391552,0.281133913870239,0.546207000341511,0.714711989475063
"GW101-3H11_contig_1_1045",174.037501052789,1.79270799891389,0.381954707668982,3.3292622802872e-07,7.14294102992837e-06
"GW101-3H11_contig_1_1046",275.331564925105,1.7187619280201,0.412846647125724,4.77745339277569e-06,7.45098981065594e-05
"GW101-3H11_contig_1_1047",945.534578673842,1.73466476916992,0.36205590053719,2.51645628935368e-07,5.63769627255756e-06
"GW101-3H11_contig_1_1048",826.755937187828,2.50627517717499,0.324141836467448,1.07402345553129e-15,1.24433288919411e-13
