"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FW510-R12_contig_1_1",3740.54637098618,0.127531902018201,0.0920688582817256,0.14481038917524,0.282944027743138
"FW510-R12_contig_1_10",1870.09558113315,0.158233613086589,0.102774396302057,0.100168380454575,0.215221519021728
"FW510-R12_contig_1_100",19.8366537827808,0.0636351551251227,0.256115192166567,0.644593338566368,0.769198742304104
"FW510-R12_contig_1_1000",5946.89526308825,-0.0383951814656522,0.0774693552161455,0.606805139349472,0.737773010380606
"FW510-R12_contig_1_1001",69.3064237174647,-0.311278121960111,0.260186389240548,0.0829635516049522,0.185691807543449
"FW510-R12_contig_1_1002",81.4976314226556,0.0806472283729006,0.180369664143228,0.57645369560961,0.715013661427311
"FW510-R12_contig_1_1003",400.420200973701,-0.571828741402125,0.156508645514769,4.93636779119877e-05,0.000392059561478302
"FW510-R12_contig_1_1004",57.4549393084973,-0.748512600389182,0.285189934093418,0.000995625117416078,0.00526083395375409
"FW510-R12_contig_1_1005",758.243784980906,-0.0628708301692458,0.115418225871988,0.553471341691466,0.699695309548909
"FW510-R12_contig_1_1006",1462.43080253151,-0.0687081424404401,0.103415493110748,0.477725676435235,0.64230342255795
"FW510-R12_contig_1_1007",14465.6022647177,-0.0659064810228083,0.100026351337433,0.493363698281229,0.654396290067683
"FW510-R12_contig_1_1008",4947.75915340775,-0.117910522980399,0.125532191132724,0.298499297219803,0.461774816421961
"FW510-R12_contig_1_1009",1239.14913838712,-0.00952625475347309,0.0895982020096904,0.911448121520502,0.951620892244209
"FW510-R12_contig_1_101",21.5780366065452,0.0135177325584744,0.241126092610499,0.924974303910732,0.960702524867708
"FW510-R12_contig_1_1010",7475.3041570802,-0.116962360874597,0.104834791008332,0.231772693701567,0.390546113796342
"FW510-R12_contig_1_1011",588.458582989886,0.0262792160364858,0.116351284498023,0.807218736330725,0.885830254988344
"FW510-R12_contig_1_1012",483.99037956542,0.0102066877244449,0.122991209743457,0.928608218533435,0.962495022438522
"FW510-R12_contig_1_1013",3425.69255643169,-0.881381693343937,0.0926346400613216,2.08927511697056e-22,1.07305170007608e-20
"FW510-R12_contig_1_1014",223.371808233585,0.146283828995524,0.148761437638985,0.256467744206442,0.417258806776671
"FW510-R12_contig_1_1015",1714.22321794934,-0.0704802693737205,0.0982679386781089,0.440132763527145,0.606509900775226
"FW510-R12_contig_1_1016",398.173539436692,0.318482537289791,0.118884151080747,0.00353634430314973,0.0155858103612503
"FW510-R12_contig_1_1017",264.477747066685,0.112445866247835,0.156566530707424,0.412915879278227,0.581129691991133
"FW510-R12_contig_1_1018",54169.5540362688,-0.198051671430285,0.101981880627089,0.0379605069108708,0.102875110803282
"FW510-R12_contig_1_1019",1734.75419373045,0.0598113513881152,0.134875155276691,0.619949919652574,0.748161987995854
