"","X_3H11_A_T42_repeat_L1","X_3H11_B_T42_repeat_L1","X_3H11_C_T42_repeat_L1","X_SynCom_A_T42_repeat_L1","X_SynCom_B_T42_repeat_L1","X_SynCom_C_T42_repeat_L1","X_3H11_A_T53_repeat_L1","X_3H11_B_T53_repeat_L1","X_3H11_C_T53_repeat_L1","X_SynCom_A_T53_repeat_L1","X_SynCom_B_T53_repeat_L1","X_SynCom_C_T53_repeat_L1","X_SynCom_A_T71_repeat_L1","X_SynCom_B_T71_repeat_L1","X_SynCom_C_T71_repeat_L1","X_SynCom_A_T95_repeat_L1","X_SynCom_B_T95_repeat_L1","X_SynCom_C_T95_repeat_L1"
"GW101-3H11_contig_1_1041",8.68681752732868,8.71266444828296,8.97012008634617,8.54015271492874,8.62822168020216,8.40083122100419,8.00530182854195,8.18381719222442,7.34478429789327,8.56291116686439,8.8423742589961,7.67336288900721,8.5338003735449,8.82580852067447,8.87924803530358,8.60240899922482,8.79897678899964,8.43624816334333
"GW101-3H11_contig_1_1042",7.87647717641258,8.00586711157942,8.17552170699955,7.47971254280477,7.47814859582589,7.17359007319854,6.91950369188025,7.4343700169306,6.62900866814308,6.91249737677877,7.8990940909821,6.40469985381532,7.71761013226795,7.86233178737476,7.64276149010766,7.76407349879187,7.87147077718964,8.55464069618179
"GW101-3H11_contig_1_1043",10.3053612748598,10.4488533688103,10.5809884792333,9.90395026027425,10.1558873211341,9.94789813745301,9.88302221809993,10.0572314545325,10.1317560729169,10.0091073219887,10.198384350666,9.32601070777937,10.5452633836602,10.4874557788961,10.4117240127433,10.984154726292,10.8994233387828,10.9149359651669
"GW101-3H11_contig_1_1044",11.7227209677944,11.5981167807209,11.5642951213364,11.3355427825598,11.1857872817929,11.5628249178035,11.3979051345003,11.2672443584911,11.1047993842706,11.6025320822682,11.1678081043943,11.4462178656466,11.5983427644633,11.3421544802003,11.4207663881873,12.0060988916494,12.0683149374306,12.0083563172383
"GW101-3H11_contig_1_1045",10.1434404935396,9.95710550782402,10.09150666826,9.88079627962209,9.77264432925863,10.1576952195531,8.6610608438842,7.97450508699538,7.65753176496071,9.92203320694986,9.90879872421488,10.2745242792593,9.9669457264511,9.9776348638956,9.84956457500922,10.1475840551318,10.4911515001966,10.33001615372
"GW101-3H11_contig_1_1046",11.0948213597254,10.7768740944089,10.9541904172786,10.6975386818111,10.6449749903579,10.9842171602956,9.58576828120262,8.55637528294415,8.08490382393723,10.7298423725855,10.8473888824093,10.4489159353317,10.8837546459192,10.8425669536751,10.8872227823329,10.952245306704,10.9904209436739,10.929365970256
"GW101-3H11_contig_1_1047",12.9743483141244,12.6677871735456,12.6448923505821,12.5362281439922,12.5181673020642,12.7567052497321,11.1591511129927,10.6252373750542,9.90463675757929,12.4887096233676,12.3672274805747,12.5249632094333,12.6186679059578,12.3660942371559,12.4478075530907,12.4155115190265,12.6166439168082,12.5780814411916
"GW101-3H11_contig_1_1048",12.9949420286012,12.6307678829103,12.588183272488,12.7205223936963,12.7654975229386,13.0432357738519,10.2573398775869,9.75147947872436,9.466214558116,12.4646192852687,12.4134000629266,12.3157097914648,12.6094562231639,12.2366147814316,12.3858904941075,12.4732964183502,12.6573281122551,12.6201211341478
"GW101-3H11_contig_1_1049",8.85346608940163,8.89798521866744,8.85044799679607,8.82668004415117,8.77472121790178,8.90823407827735,6.60087424695456,7.37354248361252,7.61361449303321,8.5300677864882,8.94911072103953,8.14830488310729,9.16110309150588,9.06539734156952,9.04358628645191,8.91666138788111,8.93611119174002,9.07536559607342
"GW101-3H11_contig_1_105",7.73345434789489,7.65109465072998,7.59469184583512,7.7006432877748,7.65204940025993,7.78471988307449,6.71509338107571,6.81072576387368,6.28120362787162,7.66185736831244,7.74464322838624,5.48752594400415,6.74085985436885,6.91055350232335,6.90363339497268,7.05526927818364,7.06054493438129,6.99724634148172
"GW101-3H11_contig_1_1050",6.89803638335029,7.10421238926354,7.19004409367014,7.43711104798443,7.20515489271437,7.14767926737697,6.02376990393063,7.49273525259711,7.44843065995089,6.71401547405679,6.15422554160217,7.930294940851,7.00139468790786,7.13521033056997,7.15066879675308,6.97932755363699,6.65677262241482,7.03145747662139
"GW101-3H11_contig_1_1051",7.21766528566313,7.59277432593872,7.53382520685224,7.39042404498618,7.11410526508886,7.07455087384247,6.02376990393063,5.21623310853322,6.3363353060151,6.81667074156916,7.05469424609482,6.96043038744908,7.1306952979745,7.22679628161001,7.12200726289779,7.51124914753154,7.36701297694262,7.56272113663066
"GW101-3H11_contig_1_1052",7.34863845570119,7.5593251839769,7.46767481406859,7.22497594051569,7.23517078397808,7.17825150413813,7.36652447885605,7.06275020264355,7.08012501533609,6.85576923165028,7.16956520125271,7.36051695535678,7.05202890130934,6.63094028665523,6.59143784122003,7.39916420414166,7.31429439480716,6.91411373023426
"GW101-3H11_contig_1_1053",6.5914653888842,6.74416111335072,6.65780185864236,6.39249096988172,6.25148370886863,6.09134020208036,6.60087424695456,7.24360225172431,6.58417579745807,5.98084559516196,6.40007726281772,5.48752594400415,6.20475123095174,5.98067554850533,6.03703289106422,5.87770736931966,6.19452892471984,5.42176757002438
"GW101-3H11_contig_1_1054",11.8969645023123,11.4498099975453,11.3293562467803,11.3297335819862,10.4563711093692,10.556392364891,13.3633533236193,12.695716757057,12.9740656783717,10.6298253039072,10.6695442653034,10.6763960264411,10.9293108745551,10.4902298935034,10.870095286736,12.1390541798866,11.7727758618356,11.2559545122793
"GW101-3H11_contig_1_1055",10.326097631866,9.7036851947251,9.42227429214644,9.79538272138654,8.65470452421004,8.76223918913284,10.6965402593632,9.36300348652277,9.30300340362564,8.43003808468925,8.86299819034892,7.67336288900721,8.47472867303938,8.19719773753738,8.52892107099314,9.36743422317342,9.05331542050477,8.13970638030232
"GW101-3H11_contig_1_1056",6.89023626560147,7.04743003767058,7.19319693960502,7.19971101245153,7.02942850176623,6.826899676776,6.19113654588272,6.32390747990254,6.16416962624479,6.4837569557271,7.39405573567711,7.36051695535678,6.92194375615933,6.97537638807659,7.05282753322841,7.25365280442159,7.26884029086566,7.23109373300147
"GW101-3H11_contig_1_1057",5.11272283473728,5.29513698766981,5.22120975314669,4.95290149166938,5.16067440224505,5.29959735946221,4.85646652784506,5.47065145601037,1.38696872066301,4.77719904029973,4.34440146893874,6.96043038744908,4.57375235518227,5.25585538526739,5.16083541098871,5.85660360428354,5.50926383142584,5.07163071469207
"GW101-3H11_contig_1_1058",5.69207731882817,5.70008206095737,5.93844324645049,5.76642498261597,5.79631892671904,5.87262944569497,5.20994377527641,5.87430876855366,5.82161797639516,5.23063494399445,5.41002072594456,5.48752594400415,6.11224783085391,6.28365854278794,6.13602217553236,6.27749257887587,6.07271364617253,6.63137682191554
"GW101-3H11_contig_1_1059",6.71143194967699,6.72416786880509,7.09547675129574,6.93846111301036,7.0632899573536,6.76315669450338,7.18028883952117,6.61432892329907,6.10187807175185,6.54486290061051,7.07841235446533,5.48752594400415,6.994938502043,6.88828142943608,6.91481766033215,7.10971029533597,6.97254342325612,6.97397934942967
"GW101-3H11_contig_1_106",6.66189043427927,6.5305254321115,6.71597167248549,6.87203155757431,6.67451848337461,6.70294948753283,7.2948901868238,6.56074156652487,7.01407747699403,6.4068338349188,6.19822891743111,5.48752594400415,5.93450516110092,5.70245834570905,5.83962413140614,6.19589374733452,5.84350930519128,5.73096204399358
"GW101-3H11_contig_1_1060",6.62945331903189,6.64129952967987,6.67595167991463,6.84783514795701,6.94277717996263,6.98426423039072,6.02376990393063,5.47065145601037,6.58417579745807,6.9848205445255,7.00605421332899,5.48752594400415,7.27621525504203,7.39417017675419,7.18801880797577,8.38795195500962,8.30876207923122,8.49461712963128
"GW101-3H11_contig_1_1061",4.27346667752564,4.22691781504326,4.61068114056326,4.30843236958355,4.48575251962577,4.18310355596175,3.66482293114254,5.21623310853322,5.01145245582824,4.60250258395779,4.49507150147497,5.48752594400415,4.53824227833721,4.54589270006246,4.82132122548307,5.85660360428354,5.37796192201496,5.38683741209967
"GW101-3H11_contig_1_1062",7.92879679562668,8.39266514127125,8.71227359406962,8.37368208699976,8.44076906623999,8.11755954681668,5.83432565017201,5.47065145601037,5.96856667568626,6.72461640446347,6.98110456253576,6.40469985381532,7.71368478194132,7.59312587982535,7.65614819809127,8.50424987144016,8.87676571057517,9.25975830454117
"GW101-3H11_contig_1_1063",7.08730353286499,7.42463427703115,7.87542665365939,7.58833400263366,7.55371273251753,7.2879880760439,6.71509338107571,5.95969115233039,6.49009358778217,5.62050140260956,6.24092657030578,1.38696872066301,6.51576882440722,5.48164380881211,6.01639041749745,7.19611191253527,7.25957495667865,7.84504326429076
"GW101-3H11_contig_1_1064",6.84252770898867,7.32199154571899,7.65080208971189,7.62911782892484,7.64596900502673,7.36564632099094,4.07135675803738,4.25945564707741,4.32339383316944,5.47702556809569,5.25149666415035,5.48752594400415,6.25968479399351,5.29037555061271,5.66481999863747,7.20447397643937,7.26884029086566,6.97397934942967
"GW101-3H11_contig_1_1065",8.45013241983965,8.69839662977158,9.00371924174498,8.94540365627438,8.98359097451222,8.82376045681848,6.54017894507409,5.47065145601037,6.83436600884459,7.10326153167399,7.07841235446533,1.38696872066301,7.2329836110222,6.85421439686138,7.36965188799127,8.32800107344251,7.93685863674954,7.9500963419543
"GW101-3H11_contig_1_1066",4.59881516831112,4.96612100566709,4.94847717317443,5.17778045662798,4.62578178809299,4.82487540641105,3.66482293114254,1.38696872066301,1.38696872066301,3.18960123755893,3.75881452912819,1.38696872066301,3.59684596241869,3.80227645963747,3.34261623451531,4.33848469140766,3.96811441316295,3.90584842599568
"GW101-3H11_contig_1_1067",7.90963973930527,8.0910338977774,8.52858823198174,8.4719001450797,8.42901504615248,8.20350918593035,5.72933114608925,6.11660195690754,5.65790556789299,6.82654525584884,6.47350761378845,1.38696872066301,6.44171055142585,6.47523586500693,6.47532998190021,7.78094305507445,7.03904306259989,6.93835915466055
"GW101-3H11_contig_1_1068",7.7700304788185,7.99089186668298,8.33812575201182,8.4559878763815,8.25619604981447,7.96274654990621,6.26804368759177,6.11660195690754,7.65753176496071,6.4837569557271,6.36190841623295,6.96043038744908,6.45117879407484,6.36660098525105,6.41356625951026,7.06448675346843,6.56944918838672,6.68968245901864
"GW101-3H11_contig_1_1069",8.14079069656646,8.39393055323072,8.57161057010582,8.57494791670665,8.50935025242303,8.10415247901845,6.82091966622544,7.40427695901151,8.30795559033129,6.90319638688425,6.47350761378845,7.67336288900721,6.55141724945388,6.51939691286662,6.79886620754022,6.81427219388389,6.68474258170836,6.58604489933639
"GW101-3H11_contig_1_107",5.6464008018465,5.66688361066884,6.14165418581995,5.68665907165695,6.03252965040198,6.13039366773735,5.20994377527641,5.58270029763227,5.01145245582824,5.5742531812309,4.34440146893874,1.38696872066301,5.34042444137697,5.18420791859948,4.72205314517939,5.08754205837691,5.74050656068243,5.19811963863338
