"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FW510-R12_contig_1_1",1212.80504617739,-0.0865758347373352,0.16173985735961,0.522337040135979,0.8603198308122
"FW510-R12_contig_1_10",541.920891493642,0.0785134910085158,0.202560310492715,0.605063317609814,0.896669141513062
"FW510-R12_contig_1_100",6.50515594009132,0.0315774347226531,0.302650144980965,0.544197865447393,NA
"FW510-R12_contig_1_1000",1725.01197921805,-0.0324677476502671,0.156672691892293,0.81747959108908,0.967944495769619
"FW510-R12_contig_1_1001",23.3552312794059,-0.012759008199254,0.287999960525313,0.905382855428446,NA
"FW510-R12_contig_1_1002",20.577989700287,-0.0499127440838889,0.295220112573989,0.623696627918429,NA
"FW510-R12_contig_1_1003",149.359091803397,-0.360980108750755,0.355554142532832,0.0690775970266727,0.324309926826131
"FW510-R12_contig_1_1004",45.6530579442013,-0.17326363828133,0.343260615767993,0.143539975968634,NA
"FW510-R12_contig_1_1005",302.105746741239,0.158228295443049,0.248286851665528,0.322230349048364,0.698323629633087
"FW510-R12_contig_1_1006",475.456372685865,0.00716905063486655,0.185765575528381,0.960777278603247,0.992564882743785
"FW510-R12_contig_1_1007",5027.10868142571,-0.362375157825808,0.151296685160432,0.00574844766115106,0.053491542906759
"FW510-R12_contig_1_1008",1790.99780713105,-0.705097729323588,0.204071852169427,9.65111750507896e-05,0.00173385394253095
"FW510-R12_contig_1_1009",381.264697470691,-0.0775127307561719,0.198195876375201,0.608508066350106,0.89845276494828
"FW510-R12_contig_1_101",4.68808550642767,-0.0279819260325521,0.305461838320265,0.739487300985364,NA
"FW510-R12_contig_1_1010",2406.7921607879,-0.152088043188861,0.147812288344633,0.234388319887766,0.612294487591245
"FW510-R12_contig_1_1011",225.609064421137,0.0955838341685682,0.236488272043798,0.537488134943836,0.865550841142716
"FW510-R12_contig_1_1012",192.26165214526,0.0147430926223089,0.224133702864198,0.923110123062524,0.988120580420691
"FW510-R12_contig_1_1013",943.058532043058,-1.42622209332171,0.218906145786756,6.02161033898358e-12,5.19865692598915e-10
"FW510-R12_contig_1_1014",54.8950487591333,0.132355601056204,0.297919331921008,0.351385598124399,NA
"FW510-R12_contig_1_1015",535.455571782973,0.080571127556202,0.196223002307566,0.591876726999662,0.890393449910431
"FW510-R12_contig_1_1016",119.447367618684,-0.0174497240167824,0.240244401129652,0.906228854765576,0.986463921158456
"FW510-R12_contig_1_1017",43.6394592358012,0.601352521376724,0.985688300631406,0.0205455080768091,NA
"FW510-R12_contig_1_1018",8190.81465528302,0.608140840016452,0.20907049905292,0.000767111883873974,0.00993409889616796
"FW510-R12_contig_1_1019",489.891019927102,0.393328479488175,0.219115966887084,0.022508758426436,0.151179328608052
"FW510-R12_contig_1_102",2.89737786923508,-0.0164886279580296,0.305383208860833,0.930367848420623,NA
"FW510-R12_contig_1_1020",225.831118272521,-0.0357030577500391,0.223379508826695,0.815191347296171,0.967944495769619
"FW510-R12_contig_1_1021",1153.14718892654,-0.0495941942377985,0.153380257601999,0.70684889552987,0.931302020419918
"FW510-R12_contig_1_1022",280.090895050558,-0.165479886815793,0.244287436164545,0.318475746618796,0.695588630000857
"FW510-R12_contig_1_1023",1276.76098300273,-0.200737778970227,0.184755269025264,0.174203560295385,0.541932430917177
"FW510-R12_contig_1_1024",581.983626031408,0.0236597052826921,0.172192810305327,0.864742405166763,0.979444082720056
"FW510-R12_contig_1_1025",193.015041320431,0.237683010445099,0.260071347884064,0.17154624331906,0.536924193590774
"FW510-R12_contig_1_1026",847.823532710979,-0.0174469620642611,0.162390154218001,0.897641753264494,0.984563987425675
"FW510-R12_contig_1_1027",483.658251115711,-0.131927532146693,0.19886283699709,0.394846285011526,0.770662103702113
"FW510-R12_contig_1_1028",264.355431185777,-0.259350064052992,0.251333539454435,0.138935122937163,0.479789291209671
"FW510-R12_contig_1_1029",445.521988133995,-0.000115092976531583,0.197993386019017,0.997781559837694,0.999401247406742
"FW510-R12_contig_1_103",12.7525247471244,-0.00292736312424734,0.295197637587599,0.986638768223227,NA
"FW510-R12_contig_1_1030",191.185165346493,-0.182867266977614,0.273831691181371,0.276020722441762,0.660481546818306
"FW510-R12_contig_1_1031",807.462770697775,-0.536098309547384,0.214666129070163,0.0027592239721784,0.029271645329694
"FW510-R12_contig_1_1032",1283.9472126788,-0.263615605350107,0.169979662465279,0.0654272802306826,0.31236249916584
"FW510-R12_contig_1_1033",18423.2394277546,-1.02334359901265,0.155102647640606,3.5368026470771e-12,3.23305371385754e-10
"FW510-R12_contig_1_1034",886.053390843127,-0.192947401490776,0.19803924212031,0.220430052151778,0.59607541753878
"FW510-R12_contig_1_1035",97.4528560433471,0.0118069638615554,0.255142134866277,0.93742074241596,0.991662242147313
"FW510-R12_contig_1_1036",49.3024258493496,-0.0559026900065769,0.278151422877404,0.656329163777101,NA
"FW510-R12_contig_1_1037",879.783209378677,0.24970391409406,0.21316948474869,0.121404203274677,0.448441319327354
"FW510-R12_contig_1_1038",113.245822007302,0.103684933757664,0.253256401748895,0.506078770652509,0.848670397793034
"FW510-R12_contig_1_1039",156.585302659577,0.0644885349693397,0.249430156995326,0.677021035015369,0.923619130569925
"FW510-R12_contig_1_104",5.41381678787288,0.00224411589886544,0.301420237211784,0.831276028951001,NA
"FW510-R12_contig_1_1040",77.8429663500952,0.0309489749914851,0.268873664552864,0.816269291090101,0.967944495769619
"FW510-R12_contig_1_1041",58.6609391504202,0.108081485374057,0.288809430528479,0.438292122995355,NA
"FW510-R12_contig_1_1042",73.4782044571713,0.0745730507788571,0.273197915535027,0.598369484166982,0.894532158148619
