	acetate (total)	no3 (total)	no2 (total)	no (total)	n2o (total)	n2 (total)	leu (total)	pyr (total)	for (total)	succ (total)	fum (total)	i (total)	acetate (3H11)	no3 (3H11)	no2 (3H11)	no (3H11)	n2o (3H11)	n2 (3H11)	leu (3H11)	pyr (3H11)	for (3H11)	succ (3H11)	fum (3H11)	i (3H11)	growth (3H11)	acetate (R12)	no3 (R12)	no2 (R12)	no (R12)	n2o (R12)	n2 (R12)	leu (R12)	pyr (R12)	for (R12)	succ (R12)	fum (R12)	i (R12)	growth (R12)
0	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	0	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	0	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	0	2.391024e-06
1	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	1	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	1	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	1	2.391024e-06
2	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	2	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	2	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	2	2.391024e-06
3	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	3	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	3	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	3	2.391024e-06
4	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	4	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	4	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	4	2.391024e-06
5	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	5	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	5	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	5	2.391024e-06
6	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	6	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	6	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	6	2.391024e-06
7	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	7	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	7	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	7	2.391024e-06
8	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	8	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	8	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	8	2.391024e-06
9	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	9	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	9	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	9	2.391024e-06
10	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	10	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	10	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	10	2.391024e-06
11	0.0079618398093328	0.015765185	4.625800224219989e-05	0	-0.0079057215011211	0.0	0	0	0	0	0	11	-0.002436098028800462	-0.009658315408268656	0.009658315408268656	0.0	0.0	0.0	0.0	0	-3.825735624871478e-08	0	0	11	1.5940160000000001e-06	-0.005525741780532338	-0.006106869591731345	-0.009704573410510856	0.0	0.0079057215011211	0	0.0	0	3.825735624871478e-08	0	0	11	2.391024e-06
